# artifact_type: raw_data
# circuit_file: 02_complementary_push_pull.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\bjt\02_complementary_push_pull.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:10.334747

Time (s),V(out),V(in),I(VIN),V(vdd),V(vss),I(VDD),I(VSS)
0.0012328000000000024,2.2442533559607467,2.9824981015089067,-7.203139517028556e-05,12.0,-12.0,-0.0223705055275758,3.3481626360298833e-09
0.0012428000000000025,2.2584891899564266,2.9969306817629495,-7.229769059205471e-05,12.0,-12.0,-0.022512595664494484,1.4405259207705967e-09
0.0012528000000000025,2.2610563546678923,2.999535745783465,-7.259129147033083e-05,12.0,-12.0,-0.02253797171857741,-5.516369583347114e-10
0.0012628000000000025,2.251953063660128,2.9903030125729044,-7.205667485501999e-05,12.0,-12.0,-0.022447471517054396,-2.459685788380739e-09
0.0012728000000000025,2.2312080480283822,2.9692689195112156,-7.155068311492929e-05,12.0,-12.0,-0.022240525367621444,-4.444473233888857e-09
0.0012828000000000026,2.1989156450079514,2.93651647855415,-7.022305284165586e-05,12.0,-12.0,-0.021918927084172424,-6.328008339551161e-09
0.0012928000000000026,2.155200456215968,2.8921749486229995,-6.893527081219819e-05,12.0,-12.0,-0.02148306102574793,-8.28050872314634e-09
0.0013028000000000026,2.100252128062386,2.8364193254786825,-6.684215811555982e-05,12.0,-12.0,-0.020935669022762227,-1.0114590054399741e-08
0.0013128000000000026,2.034289982720536,2.76946965109343,-6.480959925192487e-05,12.0,-12.0,-0.020278078232692565,-1.2010033856313385e-08
0.0013228000000000027,1.9575974930999402,2.6915901452456397,-6.19971566248878e-05,12.0,-12.0,-0.01951396401894101,-1.3770119267064729e-08
0.0013328000000000027,1.8704871421423332,2.603088162765137,-5.9274714745760626e-05,12.0,-12.0,-0.01864558113710757,-1.558417750402441e-08
0.0013428000000000027,1.7733347186367805,2.5043129805440594,-5.580610813596398e-05,12.0,-12.0,-0.01767752384662913,-1.7246136962967284e-08
0.0013528000000000027,1.6665449107970225,2.3956544191005458,-5.246473004791308e-05,12.0,-12.0,-0.016612965437431626,-1.895489276648732e-08
0.0013628000000000028,1.5505858759440694,2.277541304135239,-4.8418170475406086e-05,12.0,-12.0,-0.0154574201081914,-2.0495065200520912e-08
0.0013728000000000028,1.4259567494642202,2.150439774152154,-4.45428566083067e-05,12.0,-12.0,-0.014215002576847269,-2.2075369088270236e-08
0.0013828000000000028,1.2932239976203141,2.014851440822971,-4.0009731556586714e-05,12.0,-12.0,-0.012892206787654459,-2.347100291899551e-08
0.0013928000000000028,1.1529942537649747,1.8713114093549281,-3.5698053462526746e-05,12.0,-12.0,-0.01149421959753738,-2.4900487005652394e-08
0.0014028000000000029,1.0059581513355056,1.7203861666750229,-3.078226646546778e-05,12.0,-12.0,-0.010028773130855484,-2.6129768571081513e-08
0.001412800000000003,0.8528814906534348,1.5626713457649284,-2.614534831553439e-05,12.0,-12.0,-0.00850264218462371,-2.73871592071373e-08
0.001422800000000003,0.694684429156561,1.398789374969724,-2.0967643655625534e-05,12.0,-12.0,-0.006925848231972509,-2.8429383291950217e-08
0.001432800000000003,0.5325248058662703,1.2293870215575973,-1.614182373464723e-05,12.0,-12.0,-0.005309076753434283,-2.9494756859094196e-08
0.001442800000000003,0.36813056688109524,1.0551328392248873,-1.0869664559452763e-05,12.0,-12.0,-0.0036704056867051804,-3.0330582490023517e-08
0.001452800000000003,0.205340572397763,0.8767145296200987,-6.117423992778315e-06,12.0,-12.0,-0.002047257127259172,-3.118559277481836e-08
0.001462800000000003,0.056981296608896295,0.6948362282996634,-1.3933171240862463e-06,12.0,-12.0,-0.0005683878641491447,-3.179748375714553e-08
0.001472800000000003,0.0003761913557550906,0.5102157258266119,3.5417837748394354e-07,12.0,-12.0,-4.083679669975027e-06,-3.2424779305983975e-08
0.001482800000000003,-4.034855791705444e-05,0.32358163497911546,4.689407963054393e-07,12.0,-12.0,-3.266832493409311e-08,-3.279920690602012e-08
0.0014928000000000031,-2.778920015288873e-05,0.13567051524874366,3.4085348789552466e-07,12.0,-12.0,-2.9789958944093087e-08,-3.318362473692105e-08
0.0015028000000000031,-4.003293721063541e-05,-0.05277603402335765,4.6313515317687043e-07,12.0,-12.0,-2.9511127763726108e-08,-3.3306605473626405e-08
0.0015128000000000032,-2.8926737021064988e-05,-0.24101430040024524,3.5200547925974546e-07,12.0,-12.0,-2.943693289125804e-08,-3.33129577256841e-08
0.0015228000000000032,-6.0654417137231894e-05,-0.4283013934424078,4.959211367047689e-07,12.0,-12.0,-2.8934152851434192e-08,1.3954561950413336e-07
0.0015328000000000032,-0.013499030844617588,-0.6138981765569473,9.580922899835032e-07,12.0,-12.0,-2.8642617166951823e-08,0.00013406084740097413
0.0015428000000000032,-0.13635919287782367,-0.7970721840320154,6.237831337116417e-06,12.0,-12.0,-2.7925409540330293e-08,0.0013573820116619117
0.0015528000000000033,-0.29599639421075347,-0.9771005117443515,1.3562598197347508e-05,12.0,-12.0,-2.7426779070083285e-08,0.002946428759642572
