# artifact_type: raw_data
# circuit_file: 07_vcvs_subckt_buffer.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\07_vcvs_subckt_buffer.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:31.928131

Time (s),V(buf_out),V(in),I(VIN),V(amp),I(E.XBUF.EBUF),I(EAMP)
0.002232800000000005,0.49708301691815204,0.049708301691815206,0.0,0.49708301691815204,-4.9708301691815206e-05,0.0
0.002242800000000005,0.499488446960492,0.0499488446960492,0.0,0.499488446960492,-4.99488446960492e-05,0.0
0.002252800000000005,0.49992262429724404,0.049992262429724404,0.0,0.49992262429724404,-4.999226242972441e-05,0.0
0.002262800000000005,0.4983838354288169,0.04983838354288169,0.0,0.4983838354288169,-4.983838354288169e-05,0.0
0.002272800000000005,0.49487815325186824,0.049487815325186826,0.0,0.49487815325186824,-4.948781532518682e-05,0.0
0.002282800000000005,0.48941941309235715,0.048941941309235716,0.0,0.48941941309235715,-4.8941941309235715e-05,0.0
0.002292800000000005,0.4820291581038311,0.048202915810383114,0.0,0.4820291581038311,-4.820291581038311e-05,0.0
0.002302800000000005,0.47273655424644484,0.047273655424644484,0.0,0.47273655424644484,-4.727365542464449e-05,0.0
0.002312800000000005,0.4615782751822353,0.04615782751822353,0.0,0.4615782751822353,-4.615782751822353e-05,0.0
0.002322800000000005,0.44859835754093735,0.04485983575409373,0.0,0.44859835754093735,-4.485983575409374e-05,0.0
0.002332800000000005,0.4338480271275194,0.04338480271275194,0.0,0.4338480271275194,-4.3384802712751944e-05,0.0
0.002342800000000005,0.41738549675733894,0.04173854967573389,0.0,0.41738549675733894,-4.17385496757339e-05,0.0
0.002352800000000005,0.3992757365167529,0.03992757365167529,0.0,0.3992757365167529,-3.9927573651675294e-05,0.0
0.002362800000000005,0.37959021735586745,0.03795902173558675,0.0,0.37959021735586745,-3.7959021735586747e-05,0.0
0.002372800000000005,0.3584066290253541,0.03584066290253541,0.0,0.3584066290253541,-3.584066290253541e-05,0.0
0.0023828000000000052,0.33580857347049,0.033580857347049,0.0,0.33580857347049,-3.3580857347049e-05,0.0
0.0023928000000000053,0.31188523489248254,0.031188523489248256,0.0,0.31188523489248254,-3.1188523489248254e-05,0.0
0.0024028000000000053,0.28673102777916404,0.028673102777916404,0.0,0.28673102777916404,-2.8673102777916404e-05,0.0
0.0024128000000000053,0.26044522429414874,0.026044522429414876,0.0,0.26044522429414874,-2.6044522429414874e-05,0.0
0.0024228000000000053,0.23313156249494785,0.023313156249494784,0.0,0.23313156249494785,-2.3313156249494787e-05,0.0
0.0024328000000000054,0.20489783692625985,0.020489783692625985,0.0,0.20489783692625985,-2.0489783692625985e-05,0.0
0.0024428000000000054,0.17585547320414058,0.017585547320414056,0.0,0.17585547320414058,-1.758554732041406e-05,0.0
0.0024528000000000054,0.14611908827000977,0.014611908827000978,0.0,0.14611908827000977,-1.4611908827000977e-05,0.0
0.0024628000000000054,0.11580603804993712,0.011580603804993712,0.0,0.11580603804993712,-1.1580603804993713e-05,0.0
0.0024728000000000055,0.08503595430442756,0.008503595430442757,0.0,0.08503595430442756,-8.503595430442756e-06,0.0
0.0024828000000000055,0.05393027249651142,0.005393027249651142,0.0,0.05393027249651142,-5.393027249651142e-06,0.0
0.0024928000000000055,0.02261175254144853,0.002261175254144853,0.0,0.02261175254144853,-2.261175254144853e-06,0.0
0.0025028000000000055,-0.008796005670566591,-0.0008796005670566591,0.0,-0.008796005670566591,8.796005670566592e-07,0.0
0.0025128000000000056,-0.0401690500667145,-0.00401690500667145,0.0,-0.0401690500667145,4.01690500667145e-06,0.0
0.0025228000000000056,-0.07138356557374156,-0.007138356557374156,0.0,-0.07138356557374156,7.1383565573741565e-06,0.0
0.0025328000000000056,-0.10231636275949893,-0.010231636275949894,0.0,-0.10231636275949893,1.0231636275949894e-05,0.0
0.0025428000000000056,-0.1328453640053426,-0.013284536400534262,0.0,-0.1328453640053426,1.3284536400534262e-05,0.0
0.0025528000000000057,-0.16285008529073355,-0.016285008529073355,0.0,-0.16285008529073355,1.6285008529073356e-05,0.0
0.0025628000000000057,-0.19221211168860566,-0.019221211168860566,0.0,-0.19221211168860566,1.9221211168860567e-05,0.0
0.0025728000000000057,-0.22081556469500696,-0.022081556469500697,0.0,-0.22081556469500696,2.2081556469500698e-05,0.0
0.0025828000000000058,-0.24854755954858948,-0.024854755954858948,0.0,-0.24854755954858948,2.485475595485895e-05,0.0
0.0025928000000000058,-0.27529865073521564,-0.027529865073521564,0.0,-0.27529865073521564,2.7529865073521565e-05,0.0
0.002602800000000006,-0.3009632639193798,-0.030096326391937975,0.0,-0.3009632639193798,3.009632639193798e-05,0.0
0.002612800000000006,-0.3254401125978875,-0.03254401125978875,0.0,-0.3254401125978875,3.2544011259788754e-05,0.0
0.002622800000000006,-0.3486325978314191,-0.034863259783141906,0.0,-0.3486325978314191,3.486325978314191e-05,0.0
0.002632800000000006,-0.3704491894763909,-0.03704491894763909,0.0,-0.3704491894763909,3.704491894763909e-05,0.0
0.002642800000000006,-0.39080378741263794,-0.03908037874126379,0.0,-0.39080378741263794,3.908037874126379e-05,0.0
0.002652800000000006,-0.4096160613412334,-0.04096160613412334,0.0,-0.4096160613412334,4.0961606134123345e-05,0.0
0.002662800000000006,-0.42681176781149294,-0.04268117678114929,0.0,-0.42681176781149294,4.2681176781149296e-05,0.0
0.002672800000000006,-0.44232304322594923,-0.04423230432259492,0.0,-0.44232304322594923,4.423230432259493e-05,0.0
0.002682800000000006,-0.4560886716669693,-0.04560886716669693,0.0,-0.4560886716669693,4.560886716669693e-05,0.0
0.002692800000000006,-0.4680543264880137,-0.04680543264880137,0.0,-0.4680543264880137,4.680543264880137e-05,0.0
0.002702800000000006,-0.4781727847160921,-0.04781727847160921,0.0,-0.4781727847160921,4.781727847160921e-05,0.0
0.002712800000000006,-0.4864041134192604,-0.04864041134192604,0.0,-0.4864041134192604,4.864041134192604e-05,0.0
0.002722800000000006,-0.4927158273036656,-0.04927158273036656,0.0,-0.4927158273036656,4.927158273036656e-05,0.0
0.002732800000000006,-0.4970830169181525,-0.04970830169181525,0.0,-0.4970830169181525,4.970830169181525e-05,0.0
0.002742800000000006,-0.4994884469604921,-0.04994884469604921,0.0,-0.4994884469604921,4.9948844696049215e-05,0.0
0.002752800000000006,-0.499922624297244,-0.0499922624297244,0.0,-0.499922624297244,4.99922624297244e-05,0.0
0.0027628000000000062,-0.49838383542881665,-0.04983838354288166,0.0,-0.49838383542881665,4.9838383542881665e-05,0.0
0.0027728000000000062,-0.4948781532518676,-0.049487815325186764,0.0,-0.4948781532518676,4.948781532518676e-05,0.0
0.0027828000000000063,-0.48941941309235615,-0.04894194130923561,0.0,-0.48941941309235615,4.894194130923562e-05,0.0
0.0027928000000000063,-0.48202915810383024,-0.048202915810383024,0.0,-0.48202915810383024,4.8202915810383024e-05,0.0
0.0028028000000000063,-0.47273655424644345,-0.047273655424644345,0.0,-0.47273655424644345,4.727365542464435e-05,0.0
0.0028128000000000064,-0.46157827518223393,-0.04615782751822339,0.0,-0.46157827518223393,4.61578275182234e-05,0.0
0.0028228000000000064,-0.44859835754093536,-0.04485983575409354,0.0,-0.44859835754093536,4.485983575409354e-05,0.0
0.0028328000000000064,-0.4338480271275167,-0.04338480271275167,0.0,-0.4338480271275167,4.338480271275167e-05,0.0
0.0028428000000000064,-0.4173854967573365,-0.04173854967573365,0.0,-0.4173854967573365,4.1738549675733654e-05,0.0
0.0028528000000000065,-0.3992757365167503,-0.03992757365167503,0.0,-0.3992757365167503,3.992757365167503e-05,0.0
0.0028628000000000065,-0.3795902173558652,-0.03795902173558652,0.0,-0.3795902173558652,3.795902173558652e-05,0.0
0.0028728000000000065,-0.35840662902535103,-0.035840662902535105,0.0,-0.35840662902535103,3.5840662902535106e-05,0.0
0.0028828000000000065,-0.3358085734704861,-0.03358085734704861,0.0,-0.3358085734704861,3.3580857347048614e-05,0.0
0.0028928000000000066,-0.3118852348924799,-0.031188523489247985,0.0,-0.3118852348924799,3.118852348924799e-05,0.0
0.0029028000000000066,-0.28673102777916043,-0.028673102777916043,0.0,-0.28673102777916043,2.8673102777916045e-05,0.0
0.0029128000000000066,-0.2604452242941458,-0.02604452242941458,0.0,-0.2604452242941458,2.6044522429414582e-05,0.0
0.0029228000000000066,-0.233131562494944,-0.0233131562494944,0.0,-0.233131562494944,2.33131562494944e-05,0.0
0.0029328000000000067,-0.20489783692625585,-0.020489783692625586,0.0,-0.20489783692625585,2.0489783692625585e-05,0.0
0.0029428000000000067,-0.17585547320413727,-0.017585547320413727,0.0,-0.17585547320413727,1.7585547320413727e-05,0.0
0.0029528000000000067,-0.14611908827000558,-0.014611908827000558,0.0,-0.14611908827000558,1.4611908827000559e-05,0.0
0.0029628000000000067,-0.11580603804993372,-0.011580603804993372,0.0,-0.11580603804993372,1.1580603804993373e-05,0.0
0.0029728000000000068,-0.08503595430442325,-0.008503595430442325,0.0,-0.08503595430442325,8.503595430442326e-06,0.0
0.002982800000000007,-0.05393027249650707,-0.005393027249650707,0.0,-0.05393027249650707,5.3930272496507076e-06,0.0
0.002992800000000007,-0.022611752541445044,-0.0022611752541445043,0.0,-0.022611752541445044,2.2611752541445045e-06,0.0
0.003002800000000007,0.00879600567057097,0.0008796005670570969,0.0,0.00879600567057097,-8.79600567057097e-07,0.0
0.003012800000000007,0.040169050066717976,0.004016905006671798,0.0,0.040169050066717976,-4.016905006671798e-06,0.0
0.003022800000000007,0.071383565573745,0.007138356557374501,0.0,0.071383565573745,-7.138356557374501e-06,0.0
0.003032800000000007,0.1023163627595032,0.01023163627595032,0.0,0.1023163627595032,-1.0231636275950321e-05,0.0
0.003042800000000007,0.132845364005346,0.0132845364005346,0.0,0.132845364005346,-1.3284536400534601e-05,0.0
0.003052800000000007,0.16285008529073688,0.016285008529073688,0.0,0.16285008529073688,-1.628500852907369e-05,0.0
0.003062800000000007,0.19221211168861052,0.019221211168861052,0.0,0.19221211168861052,-1.9221211168861054e-05,0.0
0.003072800000000007,0.2208155646950101,0.02208155646950101,0.0,0.2208155646950101,-2.208155646950101e-05,0.0
0.003082800000000007,0.24854755954859406,0.024854755954859406,0.0,0.24854755954859406,-2.4854755954859406e-05,0.0
0.003092800000000007,0.27529865073521853,0.027529865073521856,0.0,0.27529865073521853,-2.7529865073521853e-05,0.0
