# artifact_type: raw_data
# circuit_file: 03_pmos_common_source.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\03_pmos_common_source.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:00.338909

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(drain)_mag,V(drain)_phase,V(drain)_real,V(drain)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(gate)_mag,V(gate)_phase,V(gate)_real,V(gate)_imag,V(m1#body diode)_mag,V(m1#body diode)_phase,V(m1#body diode)_real,V(m1#body diode)_imag,V(m1#gate)_mag,V(m1#gate)_phase,V(m1#gate)_real,V(m1#gate)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
19.952623149688755,0.01552791047025089,-174.52650843002706,-0.015457109965076906,-0.0014811330458967618,0.015577231724128605,-179.08713172399746,-0.015575254654054758,-0.0002481746331602595,1.0,0.0,1.0,0.0,1.999639106120224e-06,-178.8691022419815,-1.99924960478785e-06,-3.946609280019672e-08,0.9998123832165682,0.9139231706780946,0.9996851930843101,0.015947299494877096,5.834228096823946e-11,-91.70148931263589,-1.7323121943987107e-12,-5.831655719466072e-11,0.9998123832165637,0.9139218688243463,0.9996851934466542,0.015947276780395665,0.0,0.0,0.0,0.0,5.579107896694296e-07,-179.08902216379406,-5.578402723211658e-07,-8.87016382114886e-09
22.387211385683347,0.015538419331278844,-175.12003416918708,-0.015482094151598182,-0.001321830547275029,0.015577635883080658,-179.18645865305365,-0.015576065598914402,-0.0002211790319117806,1.0,0.0,1.0,0.0,1.9996951368336996e-06,-178.94200171954583,-1.9993542218313685e-06,-3.692337906304193e-08,0.9998385419983576,0.8145490911848855,0.9997375046765629,0.0142137893779663,6.544880656215154e-11,-91.51683988821932,-1.7324795167523378e-12,-6.542587252099863e-11,0.999838541998353,0.8145476304809582,0.9997375050389253,0.014213763890565377,0.0,0.0,0.0,0.0,5.579250467415066e-07,-179.18826459730397,-5.578690552148775e-07,-7.904113813211763e-09
25.118864315095745,0.015546781283149368,-175.64954020171314,-0.015501986557277607,-0.001179330761096242,0.015577956934328983,-179.2749958987305,-0.01557670980822331,-0.00019711366824299748,1.0,0.0,1.0,0.0,1.9997413716277725e-06,-179.00086824234037,-1.999437329969568e-06,-3.487000034254001e-08,0.9998593221206041,0.7259777007126511,0.9997790611529839,0.012668579696729208,7.342379515312265e-11,-91.35218593959122,-1.73264782130959e-12,-7.34033488760222e-11,0.9998593221205989,0.7259760617758909,0.9997790615153609,0.012668551098206362,0.0,0.0,0.0,0.0,5.57936371715336e-07,-179.27674065409818,-5.578919196693472e-07,-7.042787127570541e-09
28.183829312644473,0.015553432569566348,-176.12183922269415,-0.015517817254240698,-0.0010519564439828186,0.015578211964739259,-179.35391668502126,-0.015577221555238972,-0.00017566057424411004,1.0,0.0,1.0,0.0,1.9997802707837262e-06,-179.04648128046938,-1.999503350069773e-06,-3.327888933827715e-08,0.9998758292817974,0.6470354284081672,0.9998120730976604,0.011291256357049992,8.237307084087857e-11,-91.20538111870637,-1.7328260660491985e-12,-8.235484268445432e-11,0.9998758292817915,0.6470335894908793,0.9998120734600487,0.011291224267920119,0.0,0.0,0.0,0.0,5.579453675775841e-07,-179.3556229366728,-5.579100824262369e-07,-6.274801067361014e-09
31.622776601683718,0.015558721660727705,-176.5430467600563,-0.015530410745516037,-0.0009381693831912772,0.015578414549130429,-179.42426710214363,-0.015577628071392605,-0.0001565360467103939,1.0,0.0,1.0,0.0,1.9998139047947663e-06,-179.0794449665651,-1.9995557949944487e-06,-3.2129060282089965e-08,0.9998889419686581,0.5766759745032308,0.9998382969710345,0.010063606772103205,9.241538567627135e-11,-91.07450470434334,-1.733023740010024e-12,-9.239913494405965e-11,0.9998889419686511,0.5766739112041,0.9998382973334313,0.010063570766562991,0.0,0.0,0.0,0.0,5.579525133225632e-07,-179.4259571597887,-5.57924510168226e-07,-5.589997898936183e-09
35.481338923357455,0.015562926592328679,-176.91864442151876,-0.015540425947411635,-0.0008365676847848348,0.015578575471775723,-179.4869798500593,-0.015577950991929278,-0.00013948699889901821,1.0,0.0,1.0,0.0,1.9998440639116355e-06,-179.10019597695535,-1.999597455544301e-06,-3.1405345776827935e-08,0.9998993581137202,0.5139665728150807,0.9998591283144447,0.008969385849031473,1.0368399550070523e-10,-90.95783938066447,-1.7332513681702604e-12,-1.0366950739096333e-10,0.9998993581137126,0.513964257755381,0.9998591286768478,0.008969345449309236,0.0,0.0,0.0,0.0,5.57958189444723e-07,-179.48867590478628,-5.579359708784833e-07,-4.979314040870349e-09
39.81071705534962,0.015566268998804743,-177.25353987711415,-0.015548388785050596,-0.0007458798375492367,0.015578703299817876,-179.5428865172985,-0.01557820750520414,-0.00012428768465862108,1.0,0.0,1.0,0.0,1.9998723538208246e-06,-179.10900923793176,-1.9996305491605136e-06,-3.1098206393104667e-08,0.9999076321838261,0.45807571734046404,0.9998756758572855,0.007994105853807816,1.1632842822115573e-10,-90.85385076602292,-1.7335210712887575e-12,-1.1631551107698396e-10,0.9999076321838168,0.4580731198007598,0.9998756762196933,0.00799406052382376,0.0,0.0,0.0,0.0,5.579626981916685e-07,-179.54461090812728,-5.579450746631286e-07,-4.434662612054294e-09
44.66835921509619,0.015568925426081645,-177.55212290556722,-0.015554718617328718,-0.0006649568847819906,0.015578804838942703,-179.59272854684082,-0.015578411266222853,-0.0001107367612197317,1.0,0.0,1.0,0.0,1.999900280602994e-06,-179.10600152245578,-1.999656837302075e-06,-3.120361176205382e-08,0.999914204657709,0.4082622019669177,0.9998888204281169,0.007124848007324458,1.3051646799078816e-10,-90.76116869574948,-1.7338472113220081e-12,-1.305049508280748e-10,0.9999142046576984,0.4082592874794354,0.9998888207905275,0.007124797145577216,0.0,0.0,0.0,0.0,5.579662796539503e-07,-179.59450403730023,-5.579523061941685e-07,-3.948828114648713e-09
50.11872336272709,0.015571036422927892,-177.8183171930527,-0.015559749566412293,-0.0005927636246257389,0.015578885495454917,-179.63716702572952,-0.015578573122683166,-9.865465883189356e-05,1.0,0.0,1.0,0.0,1.9999293313124255e-06,-179.09113297874651,-1.999677719530803e-06,-3.172299254251658e-08,0.999919425451647,0.3638653372061453,0.9998992617781528,0.0063500937833293365,1.464363816283537e-10,-90.67857020555128,-1.7342471558753076e-12,-1.4642611191726422e-10,0.9999194254516344,0.36386206709740676,0.9998992621405649,0.00635003671491441,0.0,0.0,0.0,0.0,5.579691245470351e-07,-179.63901709181422,-5.579580504901639e-07,-3.5153720998600202e-09
56.234132519034745,0.015572713829293901,-178.05562781680243,-0.015563747675959552,-0.0005283694617832155,0.015578949563962316,-179.676791422867,-0.01557870169193786,-8.788122719979725e-05,1.0,0.0,1.0,0.0,1.9999610526815135e-06,-179.06420660856693,-1.9996943075072244e-06,-3.2663263250165206e-08,0.9999235725339594,0.3242962199555066,0.9999075557927026,0.0056595739892452476,1.6429941682266422e-10,-90.60496412911172,-1.7347422031858714e-12,-1.642902584992672e-10,0.9999235725339445,0.3242925508331555,0.999907556155115,0.005659509956899433,0.0,0.0,0.0,0.0,5.579713843652986e-07,-179.67874055453817,-5.579626134010837e-07,-3.1285487307344783e-09
63.09573444801914,0.015574046607992692,-178.26718450366127,-0.015566924677136546,-0.0004709393212356211,0.015579000455939176,-179.71212738640176,-0.015578803819447306,-7.827363110935763e-05,1.0,0.0,1.0,0.0,1.9999971337928165e-06,-179.02486568908793,-1.9997074844782036e-06,-3.4036916742496894e-08,0.9999268667153034,0.28902994524039505,0.9999141440606949,0.005044133865416276,1.8434260527396719e-10,-90.5393772038274,-1.7353587161002958e-12,-1.8433443695989127e-10,0.9999268667152853,0.2890258284174071,0.9999141444231058,0.005044062019469241,0.0,0.0,0.0,0.0,5.579731794481681e-07,-179.7142014054505,-5.579662378840358e-07,-2.783229245519488e-09
70.79457843841358,0.01557510550378287,-178.45578085310882,-0.01556944901000859,-0.00041972488454935445,0.01557904088131186,-179.74364370151432,-0.015578884943040217,-6.970446973528306e-05,1.0,0.0,1.0,0.0,2.000039495678177e-06,-178.97258910844667,-1.9997179519780733e-06,-3.586219191905162e-08,0.9999294833997575,0.2575986594421099,0.9999193773698506,0.004495612571855067,2.0683190796976116e-10,-90.48094157063773,-1.7361295260865513e-12,-2.0682462137927484e-10,0.9999294833997351,0.25759404029074534,0.9999193777322587,0.004495531958954741,0.0,0.0,0.0,0.0,5.579746053877491e-07,-179.7458700991631,-5.57969116934171e-07,-2.474834401673239e-09
