# artifact_type: raw_data
# circuit_file: 03_cmos_inverter_vtc.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\03_cmos_inverter_vtc.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:34.802684

Vin,V(out),V(in),I(VIN),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(vdd),I(VDD)
0.9100000000000006,4.999999965894485,0.9100000000000006,0.0,5.0,0.9100000000000006,2.3399998334494563e-11,0.9100000000000006,5.0,-5.080849962979528e-09
0.9200000000000006,4.999999958280715,0.9200000000000006,0.0,5.000000000000001,0.9200000000000006,2.3399998311645928e-11,0.9200000000000006,5.0,-6.20337869960963e-09
0.9300000000000006,4.999999948964443,0.9300000000000006,0.0,5.0,0.9300000000000005,2.3399998283688147e-11,0.9300000000000005,5.0,-7.574209703875567e-09
0.9400000000000006,4.999999937564968,0.9400000000000006,0.0,5.000000000000001,0.9400000000000006,2.3399998249478755e-11,0.9400000000000006,5.0,-9.248236843006907e-09
0.9500000000000006,4.999999923616508,0.9500000000000006,0.0,5.0,0.9500000000000006,2.3399998207619965e-11,0.9500000000000006,5.0,-1.1292480728286591e-08
0.9600000000000006,4.9999999065491645,0.9600000000000006,0.0,4.999999999999999,0.9600000000000005,2.3399998156401523e-11,0.9600000000000005,5.0,-1.3788760799826605e-08
0.9700000000000006,4.999999885665678,0.9700000000000006,0.0,4.999999999999999,0.9700000000000006,2.339999809373098e-11,0.9700000000000006,5.0,-1.6836964711330893e-08
0.9800000000000006,4.999999860113001,0.9800000000000006,0.0,5.000000000000001,0.9800000000000006,2.339999801704838e-11,0.9800000000000006,5.0,-2.055902026398826e-08
0.9900000000000007,4.999999828847533,0.9900000000000007,0.0,5.0,0.9900000000000005,2.339999792322192e-11,0.9900000000000005,5.0,-2.5103764844658372e-08
1.0000000000000007,4.99999979059259,1.0000000000000007,0.0,4.999999999999999,1.0000000000000007,2.339999780842032e-11,1.0000000000000007,5.0,-3.065285669734408e-08
1.0100000000000007,4.999999743786448,1.0100000000000007,0.0,5.0,1.0100000000000007,2.3399997667956916e-11,1.0100000000000007,5.0,-3.742801135686591e-08
1.0200000000000007,4.999999686518819,1.0200000000000007,-1.1102230246251565e-16,5.0,1.0200000000000005,2.3399997496099006e-11,1.0200000000000005,5.0,-4.5699799056109214e-08
1.0300000000000007,4.999999616453183,1.0300000000000007,0.0,5.0,1.0300000000000007,2.3399997285834806e-11,1.0300000000000007,5.0,-5.5798392573080946e-08
1.0400000000000007,4.999999530731917,1.0400000000000007,0.0,5.000000000000001,1.0400000000000007,2.3399997028588706e-11,1.0400000000000007,5.0,-6.812664743449659e-08
1.0500000000000007,4.999999425860395,1.0500000000000007,0.0,4.999999999999999,1.0500000000000007,2.3399996713873486e-11,1.0500000000000007,5.0,-8.317605582064402e-08
1.0600000000000007,4.999999297565351,1.0600000000000007,0.0,4.999999999999999,1.0600000000000007,2.3399996328865287e-11,1.0600000000000007,5.0,-1.0154617191560078e-07
1.0700000000000007,4.999999140621993,1.0700000000000007,0.0,4.999999999999999,1.0700000000000007,2.339999585788473e-11,1.0700000000000007,5.0,-1.2396828319438669e-07
1.0800000000000007,4.999998948642896,1.0800000000000007,-1.1102230246251565e-16,4.999999999999999,1.0800000000000005,2.3399995281763474e-11,1.0800000000000005,5.0,-1.5133420960822264e-07
1.0900000000000007,4.999998713820349,1.0900000000000007,0.0,4.999999999999999,1.0900000000000007,2.3399994577070962e-11,1.0900000000000007,5.0,-1.8473138307939507e-07
1.1000000000000008,4.999998426611988,1.1000000000000008,0.0,4.999999999999999,1.1000000000000008,2.339999371517105e-11,1.1000000000000008,5.0,-2.2548550893120023e-07
1.1100000000000008,4.999998075357406,1.1100000000000008,0.0,4.999999999999999,1.1100000000000008,2.339999266107147e-11,1.1100000000000008,5.0,-2.752124608207396e-07
1.1200000000000008,4.999997645810756,1.1200000000000008,0.0,4.999999999999999,1.1200000000000008,2.3399991372021216e-11,1.1200000000000008,5.0,-3.3588136005846536e-07
1.1300000000000008,4.999997120571157,1.1300000000000008,0.0,4.999999999999998,1.1300000000000008,2.339998979580125e-11,1.1300000000000008,5.0,-4.098912294026036e-07
1.1400000000000008,4.999996478389002,1.1400000000000008,-1.1102230246251565e-16,5.0,1.1400000000000006,2.3399987868642766e-11,1.1400000000000006,5.0,-5.00164064387576e-07
1.1500000000000008,4.999995693321544,1.1500000000000008,0.0,4.999999999999999,1.1500000000000008,2.3399985512693215e-11,1.1500000000000008,5.0,-6.102578047340046e-07
1.1600000000000008,4.999994733705693,1.1600000000000008,0.0,4.999999999999999,1.1600000000000008,2.3399982632933712e-11,1.1600000000000008,5.0,-7.445033287645231e-07
1.1700000000000008,4.999993560909294,1.1700000000000008,0.0,4.999999999999999,1.1700000000000008,2.339997911343185e-11,1.1700000000000008,5.0,-9.081704885893771e-07
1.1800000000000008,4.999992127814398,1.1800000000000008,0.0,4.999999999999997,1.1800000000000008,2.339997481279009e-11,1.1800000000000008,5.0,-1.107669148403545e-06
1.1900000000000008,4.999990376976441,1.1900000000000008,0.0,4.999999999999997,1.1900000000000008,2.339996955862171e-11,1.1900000000000008,5.0,-1.350792393495226e-06
1.2000000000000008,4.999988238392443,1.2000000000000008,-1.1102230246251565e-16,4.9999999999999964,1.2000000000000006,2.3399963140853506e-11,1.2000000000000006,5.0,-1.6470104471366653e-06
1.2100000000000009,4.999985626797852,1.2100000000000009,0.0,4.9999999999999964,1.2100000000000009,2.3399955303613953e-11,1.2100000000000009,5.0,-2.007825476102454e-06
1.2200000000000009,4.999982438396609,1.2200000000000009,0.0,4.9999999999999964,1.2200000000000009,2.339994573542067e-11,1.2200000000000009,5.0,-2.4471993387287228e-06
1.2300000000000009,4.999978546910697,1.2300000000000009,0.0,4.999999999999996,1.2300000000000009,2.339993405732584e-11,1.2300000000000009,5.0,-2.982068547208172e-06
1.2400000000000009,4.999973798814581,1.2400000000000009,0.0,4.999999999999994,1.2400000000000009,2.3399919808615587e-11,1.2400000000000009,5.0,-3.632963299082803e-06
1.2500000000000009,4.999968007595877,1.2500000000000009,0.0,4.999999999999992,1.2500000000000009,2.3399902429587404e-11,1.2500000000000009,5.0,-4.424750248421816e-06
1.260000000000001,4.999960946855744,1.260000000000001,-1.1102230246251565e-16,4.999999999999991,1.2600000000000007,2.3399881240846043e-11,1.2600000000000007,5.0,-5.387522113764476e-06
1.270000000000001,4.999952342031401,1.270000000000001,0.0,4.999999999999989,1.270000000000001,2.33998554184647e-11,1.270000000000001,5.0,-6.557660793049536e-06
1.280000000000001,4.999941860487919,1.280000000000001,0.0,4.999999999999987,1.280000000000001,2.3399823964253138e-11,1.280000000000001,5.0,-7.979104846622675e-06
1.290000000000001,4.999929099688006,1.290000000000001,0.0,4.999999999999983,1.290000000000001,2.339978567025867e-11,1.290000000000001,5.0,-9.70485657481035e-06
1.300000000000001,4.999913573106583,1.300000000000001,0.0,4.9999999999999805,1.300000000000001,2.3399739076500218e-11,1.300000000000001,5.0,-1.1798768657200753e-05
1.310000000000001,4.9998946935128465,1.310000000000001,0.0,4.999999999999975,1.310000000000001,2.3399682420803672e-11,1.310000000000001,5.0,-1.4337655199980759e-05
1.320000000000001,4.999871753197314,1.320000000000001,-1.1102230246251565e-16,4.999999999999971,1.3200000000000007,2.3399613579470807e-11,1.3200000000000007,5.0,-1.7413776781438628e-05
1.330000000000001,4.999843900677269,1.330000000000001,0.0,4.999999999999963,1.330000000000001,2.3399529997382146e-11,1.330000000000001,5.0,-2.1137753611011334e-05
1.340000000000001,4.999810113373813,1.340000000000001,0.0,4.999999999999956,1.340000000000001,2.3399428606013462e-11,1.340000000000001,5.0,-2.564196455212553e-05
1.350000000000001,4.999769165721738,1.350000000000001,0.0,4.999999999999947,1.350000000000001,2.3399305727749843e-11,1.350000000000001,5.0,-3.108449219624276e-05
1.360000000000001,4.999719592154747,1.360000000000001,0.0,4.999999999999935,1.360000000000001,2.3399156964825175e-11,1.360000000000001,5.0,-3.765367451658008e-05
1.370000000000001,4.999659644410326,1.370000000000001,0.0,4.99999999999992,1.370000000000001,2.3398977071220602e-11,1.370000000000001,5.0,-4.557332112753443e-05
1.380000000000001,4.999587242629183,1.380000000000001,-1.1102230246251565e-16,4.999999999999904,1.3800000000000008,2.3398759805947603e-11,1.3800000000000008,5.0,-5.51086456264116e-05
1.390000000000001,4.999499919794161,1.390000000000001,0.0,4.999999999999883,1.390000000000001,2.3398497766351333e-11,1.390000000000001,5.0,-6.657295364975724e-05
1.400000000000001,4.999394759174034,1.400000000000001,0.0,4.99999999999986,1.400000000000001,2.3398182200432068e-11,1.400000000000001,5.0,-8.033510780069975e-05
1.410000000000001,4.999268324622263,1.410000000000001,0.0,4.999999999999831,1.410000000000001,2.339780279773672e-11,1.410000000000001,5.0,-9.682776377850644e-05
1.420000000000001,4.999116583841019,1.420000000000001,0.0,4.999999999999796,1.420000000000001,2.3397347459153513e-11,1.420000000000001,5.0,-0.00011655633564933154
1.430000000000001,4.998934825069546,1.430000000000001,0.0,4.999999999999754,1.430000000000001,2.3396802046989546e-11,1.430000000000001,5.0,-0.00014010860078528253
1.440000000000001,4.998717568099748,1.440000000000001,-1.1102230246251565e-16,4.999999999999706,1.4400000000000008,2.339615011804262e-11,1.4400000000000008,5.0,-0.00016816479605452628
1.450000000000001,4.998458471063659,1.450000000000001,0.0,4.999999999999648,1.450000000000001,2.3395372644004046e-11,1.450000000000001,5.0,-0.00020150798630558242
1.460000000000001,4.998150235068521,1.460000000000001,0.0,4.99999999999958,1.460000000000001,2.339444772542217e-11,1.460000000000001,5.0,-0.00024103440574929635
1.470000000000001,4.997784509455848,1.470000000000001,0.0,4.999999999999501,1.470000000000001,2.3393350307557724e-11,1.470000000000001,5.0,-0.0002877633852826911
1.480000000000001,4.997351801192868,1.480000000000001,0.0,4.999999999999408,1.480000000000001,2.3392051908657083e-11,1.480000000000001,5.0,-0.0003428463897181544
1.490000000000001,4.99684139261278,1.490000000000001,0.0,4.9999999999993,1.490000000000001,2.339052037329201e-11,1.490000000000001,5.0,-0.000407574605494343
1.500000000000001,4.996241272328422,1.500000000000001,-2.220446049250313e-16,4.999999999999177,1.5000000000000009,2.3388719665236908e-11,1.5000000000000009,5.0,-0.00048338445194495705
1.5100000000000011,4.995538084560873,1.5100000000000011,0.0,4.999999999999037,1.510000000000001,2.338660971560276e-11,1.510000000000001,5.0,-0.0005718603489972551
1.5200000000000011,4.994717102248627,1.5200000000000011,0.0,4.9999999999988765,1.5200000000000011,2.3384146342316305e-11,1.5200000000000011,5.0,-0.0006747340741424246
