# artifact_type: raw_data
# circuit_file: 05_njf_transfer_curve.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\05_njf_transfer_curve.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:38.878292

Vgs,V(drain),V(gate),V(vdd),I(VDD),I(VGS)
-1.5799999999999987,7.337252242672398,-1.5799999999999987,10.0,-0.0026627477573276017,1.0564392044589765e-11
-1.5599999999999987,7.262314770946498,-1.5599999999999987,10.0,-0.002737685229053502,1.0449454565197345e-11
-1.5399999999999987,7.186360506248104,-1.5399999999999987,10.0,-0.002813639493751896,1.0333500292431567e-11
-1.5199999999999987,7.109390644341741,-1.5199999999999987,10.0,-0.0028906093556582586,1.0216530422030406e-11
-1.4999999999999987,7.031406393840939,-1.4999999999999987,10.0,-0.0029685936061590607,1.0098546162578721e-11
-1.4799999999999986,6.952408976160832,-1.4799999999999986,10.0,-0.003047591023839168,9.979548735460634e-12
-1.4599999999999986,6.872399625479631,-1.4599999999999986,10.0,-0.003127600374520369,9.859539374820765e-12
-1.4399999999999986,6.791379588687289,-1.4399999999999986,10.0,-0.003208620411312711,9.738519327512672e-12
-1.4199999999999986,6.709350125343051,-1.4199999999999986,10.0,-0.003290649874656949,9.6164898530561e-12
-1.3999999999999986,6.626312507622157,-1.3999999999999986,10.0,-0.0033736874923778427,9.493452223583385e-12
-1.3799999999999986,6.542268020275641,-1.3799999999999986,10.0,-0.0034577319797243593,9.3694077237989e-12
-1.3599999999999985,6.457217960582914,-1.3599999999999985,10.0,-0.0035427820394170863,9.244357650931249e-12
-1.3399999999999985,6.371163638296949,-1.3399999999999985,10.0,-0.003628836361703051,9.11830331467801e-12
-1.3199999999999985,6.284106375602165,-1.3199999999999985,10.0,-0.003715893624397835,8.991246037163137e-12
-1.2999999999999985,6.196047507069458,-1.2999999999999985,10.0,-0.003803952492930542,8.863187152891449e-12
-1.2799999999999985,6.106988379596477,-1.2799999999999985,10.0,-0.003893011620403523,8.734128008688261e-12
-1.2599999999999985,6.016930352366407,-1.2599999999999985,10.0,-0.003983069647633593,8.604069963657489e-12
-1.2399999999999984,5.925874796798566,-1.2399999999999984,10.0,-0.004074125203201434,8.473014389131449e-12
-1.2199999999999984,5.83382309649999,-1.2199999999999984,10.0,-0.00416617690350001,8.34096266862156e-12
-1.1999999999999984,5.740776647207688,-1.1999999999999984,10.0,-0.004259223352792312,8.20791619775956e-12
-1.1799999999999984,5.6467368567437815,-1.1799999999999984,10.0,-0.004353263143256219,8.073876384251515e-12
-1.1599999999999984,5.55170514496855,-1.1599999999999984,10.0,-0.0044482948550314495,7.938844647829539e-12
-1.1399999999999983,5.455682943720245,-1.1399999999999983,10.0,-0.004544317056279754,7.802822420190113e-12
-1.1199999999999983,5.358671696773181,-1.1199999999999983,10.0,-0.00464132830322682,7.665811144950455e-12
-1.0999999999999983,5.260672859781251,-1.0999999999999983,10.0,-0.004739327140218749,7.527812277590084e-12
-1.0799999999999983,5.161687900225087,-1.0799999999999983,10.0,-0.004838312099774913,7.388827285395688e-12
-1.0599999999999983,5.061718297361247,-1.0599999999999983,10.0,-0.004938281702638754,7.248857647407733e-12
-1.0399999999999983,4.960765542175327,-1.0399999999999983,10.0,-0.005039234457824673,7.1079048543705526e-12
-1.0199999999999982,4.858831137316528,-1.0199999999999982,10.0,-0.005141168862683472,6.965970408663413e-12
-0.9999999999999982,4.7559165970564266,-0.9999999999999982,10.0,-0.0052440834029435736,6.8230558242552525e-12
-0.9799999999999982,4.652023447233265,-0.9799999999999982,10.0,-0.005347976552766735,6.679162626644235e-12
-0.9599999999999982,4.547153225192757,-0.9599999999999982,10.0,-0.0054528467748072434,6.5342923527930345e-12
-0.9399999999999982,4.441307479741036,-0.9399999999999982,10.0,-0.005558692520258964,6.388446551075325e-12
-0.9199999999999982,4.334487771085502,-0.9199999999999982,10.0,-0.005665512228914498,6.241626781209005e-12
-0.8999999999999981,4.226695670783965,-0.8999999999999981,10.0,-0.0057733043292160354,6.093834614196376e-12
-0.8799999999999981,4.117932761686238,-0.8799999999999981,10.0,-0.005882067238313762,5.945071632255101e-12
-0.8599999999999981,4.00820063788485,-0.8599999999999981,10.0,-0.00599179936211515,5.795339428756274e-12
-0.8399999999999981,3.8975009046551885,-0.8399999999999981,10.0,-0.006102499095344811,5.6446396081494955e-12
-0.8199999999999981,3.785835178399869,-0.8199999999999981,10.0,-0.006214164821600131,5.492973785889171e-12
-0.799999999999998,3.6732050865977133,-0.799999999999998,10.0,-0.006326794913402286,5.340343588361767e-12
-0.779999999999998,3.5596122677404103,-0.779999999999998,10.0,-0.00644038773225959,5.18675065279621e-12
-0.759999999999998,3.4450583712856524,-0.759999999999998,10.0,-0.006554941628714348,5.0321966271851365e-12
-0.739999999999998,3.3295450575904955,-0.739999999999998,10.0,-0.006670454942409505,4.876683170179359e-12
-0.719999999999998,3.2130739978643543,-0.719999999999998,10.0,-0.006786926002135646,4.720211950993146e-12
-0.699999999999998,3.0956468741045877,-0.699999999999998,10.0,-0.006904353125895412,4.562784649280977e-12
-0.6799999999999979,2.9772653790444847,-0.6799999999999979,10.0,-0.007022734620955515,4.40440295501254e-12
-0.6599999999999979,2.8579312160914627,-0.6599999999999979,10.0,-0.007142068783908538,4.2450685683198394e-12
-0.6399999999999979,2.7376460992735483,-0.6399999999999979,10.0,-0.007262353900726452,4.084783199329236e-12
-0.6199999999999979,2.6164117531795186,-0.6199999999999979,10.0,-0.0073835882468204815,3.923548567956789e-12
-0.5999999999999979,2.494229912900681,-0.5999999999999979,10.0,-0.007505770087099319,3.7613664036654325e-12
-0.5799999999999979,2.3746835722123794,-0.5799999999999979,10.0,-0.007625316427787621,3.6018196934505975e-12
-0.5599999999999978,2.281507161964982,-0.5599999999999978,10.0,-0.0077184928380350185,3.468642860242604e-12
-0.5399999999999978,2.207932053065787,-0.5399999999999978,10.0,-0.007792067946934213,3.3550672648577816e-12
-0.5199999999999978,2.1456624781684526,-0.5199999999999978,10.0,-0.007854337521831548,3.2527971274580625e-12
-0.4999999999999978,2.091143431275646,-0.4999999999999978,10.0,-0.007908856568724355,3.158277426508488e-12
-0.47999999999999776,2.042474418337161,-0.47999999999999776,10.0,-0.00795752558166284,3.069607648454742e-12
-0.45999999999999774,1.9983856907528763,-0.45999999999999774,10.0,-0.008001614309247123,2.9855180199967674e-12
-0.4399999999999977,1.9579983713958093,-0.4399999999999977,10.0,-0.008042001628604191,2.905129632414573e-12
-0.4199999999999977,1.920678694014978,-0.4199999999999977,10.0,-0.008079321305985022,2.827808678613884e-12
-0.3999999999999977,1.8859522785370524,-0.3999999999999977,10.0,-0.008114047721462948,2.7530807251043373e-12
-0.3799999999999977,1.853453369197404,-0.3799999999999977,10.0,-0.008146546630802595,2.6805799453699767e-12
-0.35999999999999766,1.822893073517268,-0.35999999999999766,10.0,-0.008177106926482733,2.6100173519097257e-12
-0.33999999999999764,1.7940385913296846,-0.33999999999999764,10.0,-0.008205961408670316,2.5411600149640245e-12
-0.3199999999999976,1.766699129487138,-0.3199999999999976,10.0,-0.008233300870512862,2.4738169616096054e-12
-0.2999999999999976,1.7407160520755212,-0.2999999999999976,10.0,-0.00825928394792448,2.4078293017528e-12
-0.2799999999999976,1.7159558089024374,-0.2799999999999976,10.0,-0.008284044191097562,2.3430631180602435e-12
-0.25999999999999757,1.6923047419278092,-0.25999999999999757,10.0,-0.00830769525807219,2.2794042091952614e-12
-0.23999999999999758,1.6696651946062764,-0.23999999999999758,10.0,-0.008330334805393724,2.216754092105863e-12
-0.2199999999999976,1.6479525460787072,-0.2199999999999976,10.0,-0.008352047453921293,2.1550268478557614e-12
-0.1999999999999976,1.6270929152150666,-0.1999999999999976,10.0,-0.008372907084784933,2.09414647937834e-12
-0.1799999999999976,1.6070213585946773,-0.1799999999999976,10.0,-0.008392978641405324,2.03404443919505e-12
-0.15999999999999762,1.5876804385858843,-0.15999999999999762,10.0,-0.008412319561414116,1.9746568181812866e-12
-0.13999999999999763,1.5690190727673823,-0.13999999999999763,10.0,-0.008430980927232618,1.915920137675917e-12
