# artifact_type: raw_data
# circuit_file: 03_cmos_ring_oscillator.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\03_cmos_ring_oscillator.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:23.875617

Time (s),V(m1n#body diode),V(m1n#gate),V(m1p#body diode),V(m1p#gate),V(m2n#body diode),V(m2n#gate),V(m2p#body diode),V(m2p#gate),V(m3n#body diode),V(m3n#gate),V(m3p#body diode),V(m3p#gate),V(n1),V(n2),V(n3),V(vdd),I(VDD)
2.2592754667978778e-07,0.009478531376608146,0.05926480908133304,5.004544650522416,0.015163769680810353,-0.05366892648975241,3.245398786210852,4.981624985590428,3.60960062246044,-0.0199049767741471,3.078914505526404,4.997857392726726,2.6050429316291086,3.6915209928275923,2.5137910061330886,-0.05812088852764341,5.0,-0.24332562945346098
2.2612754667978777e-07,0.008680553117433876,0.013769853167003673,5.004251048960732,-0.026603103420377167,-0.05571169794100961,3.279614950001669,4.982313218626857,3.6715951012955808,-0.012441255968469293,2.862758000593363,4.999002917056378,2.359103998972315,3.738608045458386,2.2670170360138586,-0.08532483393319579,5.0,-0.24974585523680465
2.2632754667978776e-07,0.009049351201432687,-0.016280840192094366,5.004581279476878,-0.04969699432775917,-0.053236789427639764,3.321551567751202,4.9846720476715465,3.729509378174066,-0.0021908328221086903,2.651090928899665,5.000284056552973,2.123881503077297,3.785975627636058,2.034904564208105,-0.09049142197336402,5.0,-0.25942324671902345
2.2652754667978774e-07,0.010372048292126568,-0.027889236207065352,5.00536158108443,-0.050398373544045194,-0.04582278146655272,3.3794008535742197,4.9878275830508265,3.790074545241687,0.008601513498774034,2.45296751876279,5.001518387694321,1.9172747244409534,3.8390593264497674,1.8369734949116672,-0.07296483420373778,5.0,-0.26805539248895033
2.2672754667978773e-07,0.011223214333045739,-0.02180715588778722,5.00586712924237,-0.0305495167146205,-0.039192884618060475,3.450111557158301,4.990025022208109,3.8537796714921364,0.017125056095358433,2.271786984184325,5.002364575646059,1.7452895264656858,3.897806902775316,1.6734080923941808,-0.03709727414308872,5.0,-0.2759561000521423
2.2692754667978772e-07,0.011431732701387531,-0.0005702974596155288,5.006098603962934,0.005158843917235857,-0.03444756646801406,3.527500041955967,4.9916424011268425,3.9188659069071323,0.022567093363559602,2.106789983630986,5.0029783200210165,1.6019291429238784,3.9591395830023473,1.5352380065182016,0.011534164416094894,5.0,-0.28285123321807887
2.271275466797877e-07,0.011333567778121889,0.03359297593416042,5.0061759968974355,0.052945864907427656,-0.030645439485814496,3.607702090748323,4.992829565754861,3.983762444298296,0.02617837429137828,1.9570600041288477,5.003483584287484,1.480116344245085,4.020862240872713,1.416196935678172,0.06984901569627233,5.0,-0.2887099745193867
2.273275466797877e-07,0.01107431821585303,0.07903931884636009,5.0061766368618015,0.11057746133626932,-0.02749308798200628,3.6884176674029465,4.993810299970791,4.047505160530171,0.02890667586887557,1.8218940388134506,5.00396445802184,1.3753165230365032,4.081843752169293,1.3123946283663246,0.136601950596972,5.0,-0.2933123952888421
2.2752754667978769e-07,0.010820734249253894,0.1351875564694363,5.006182753364395,0.1775836312728886,-0.024547684468859576,3.768552339155201,4.994659370849872,4.109830859847768,0.0317292850764577,1.7012304308973287,5.0045634056816946,1.2851535966445304,4.1418035890728735,1.22181524060144,0.21260806369027052,5.0,-0.2962590002176017
2.2772754667978768e-07,0.010710401632177735,0.20315871937403646,5.0062773410982455,0.2557794372885684,-0.021483859158904106,3.847929538578072,4.995499991584563,4.171186074813215,0.0357866624393086,1.5960607861893255,5.005460028604295,1.2090928077994438,4.2012666041892945,1.143895401899859,0.30149070084937957,5.0,-0.2966798952606925
2.2792754667978766e-07,0.01060411262904637,0.2841884452930573,5.006364559059046,0.34719090342655295,-0.01847356512913212,3.926431069006135,4.99623201002999,4.231953414537612,0.04007240076180241,1.505836074550177,5.006363013986971,1.1463918352202436,4.260486632162171,1.077933856539616,0.40527987084487865,5.0,-0.2947378214198389
2.2812754667978765e-07,0.010227086608884495,0.3773867246536492,5.006278605038677,0.4509695091077459,-0.016121428359230916,4.003121795199517,4.996760554981937,4.2914848941654835,0.04235035458883882,1.4270532012855888,5.006965348218098,1.0943534417027505,4.318429389099313,1.0215654628032032,0.5207039614304889,5.0,-0.2917862453220645
2.2832754667978764e-07,0.009667427064842471,0.4808657424715154,5.006079843131129,0.5646031953940035,-0.014419687644589674,4.076930106047243,4.99714569085686,4.348685057234983,0.04300109578152611,1.356511436853929,5.007456326258981,1.0500831379946083,4.373879717736754,0.9721950943431656,0.6440458196269518,5.0,-0.2885422766348282
2.2852754667978763e-07,0.009092509388286762,0.5932548590380852,5.005856960716251,0.686249373593548,-0.013075558709197521,4.147298892302524,4.997452029515465,4.402934820357877,0.043253502282530776,1.29240453326322,5.007930311085895,1.0117336082604105,4.426400324616878,0.9281761768072299,0.7739981765685882,5.0,-0.2851132947027289
2.2872754667978762e-07,0.008553957300028614,0.7137598551207034,5.005641102337729,0.8150813869309852,-0.01199003380594682,4.21403275499266,4.99769363714177,4.454163335162654,0.04348975372493924,1.2333463044783024,5.008439993540962,0.9780445096968189,4.476053743175871,0.8884155035343606,0.910458672520433,5.0,-0.2815095012899173
2.289275466797876e-07,0.008066492006574943,0.8420157966597206,5.005442862582714,0.9509591554295008,-0.011144686087887046,4.277099441201281,4.99788082978187,4.502553281535456,0.04383531722371853,1.1780040077528353,5.00900011195956,0.9480114017007736,4.523059666659186,0.8519913584384129,1.0538065818014324,5.0,-0.27776203815404604
