bundle_rel_path,bundle_timestamp,circuit_name,circuit_stem,analysis_type,success,duration_ms,metric_row_count,metric_values,artifact_file_count,manifest_error_count,warning_count,error_count,first_error,data_point_count,signal_count,timestamp,x_axis_kind,analysis_command,result_file_path,has_metrics
05_cmos_inverter_switch/2026-04-22_10-27-27_468302,2026-04-22_10-27-27_468302,05_cmos_inverter_switch.cir,05_cmos_inverter_switch,tran,True,12.53056526184082,2,"{""t_pdhl"": -3.338531e-09, ""t_pdlh"": 1.322149e-08}",10,0,0,0,,897,9,2026-04-22T10:27:27.468302,time,.tran 10n 5u,E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\05_cmos_inverter_switch.cir,True
05_cmos_inverter_switch/2026-04-22_15-51-56_494310,2026-04-22_15-51-56_494310,05_cmos_inverter_switch.cir,05_cmos_inverter_switch,tran,True,6.550788879394531,2,"{""t_pdhl"": -3.338531e-09, ""t_pdlh"": 1.322149e-08}",10,0,0,0,,897,9,2026-04-22T15:51:56.494310,time,.tran 10n 5u,E:\Individual Project\circuit_design_ai\TestCircuit\transient_analysis\05_cmos_inverter_switch.cir,True
05_cmos_schmitt_trigger/2026-04-22_10-26-28_441887,2026-04-22_10-26-28_441887,05_cmos_schmitt_trigger.cir,05_cmos_schmitt_trigger,tran,True,22.087574005126953,2,"{""v_out_high"": 2.934641, ""v_out_low"": 1.00878}",10,0,0,0,,2062,19,2026-04-22T10:26:28.441887,time,.tran 2u 4m,E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\05_cmos_schmitt_trigger.cir,True
05_cmos_schmitt_trigger/2026-04-22_15-51-55_504066,2026-04-22_15-51-55_504066,05_cmos_schmitt_trigger.cir,05_cmos_schmitt_trigger,tran,True,19.036054611206055,2,"{""v_out_high"": 2.934641, ""v_out_low"": 1.00878}",10,0,0,0,,2062,19,2026-04-22T15:51:55.504066,time,.tran 2u 4m,E:\Individual Project\circuit_design_ai\TestCircuit\comprehensive_circuits\05_cmos_schmitt_trigger.cir,True
05_lt1001_two_stage_amplifier/2026-04-22_10-27-11_885749,2026-04-22_10-27-11_885749,05_lt1001_two_stage_amplifier.cir,05_lt1001_two_stage_amplifier,tran,True,7.521390914916992,0,{},10,0,0,0,,308,14,2026-04-22T10:27:11.885749,time,.tran 0.02m 6m,E:\Individual Project\circuit_design_ai\TestWork\opamp_circuits\05_lt1001_two_stage_amplifier.cir,False
05_lt1001_two_stage_amplifier/2026-04-22_15-51-56_255666,2026-04-22_15-51-56_255666,05_lt1001_two_stage_amplifier.cir,05_lt1001_two_stage_amplifier,tran,True,4.004001617431641,0,{},10,0,0,0,,308,14,2026-04-22T15:51:56.255666,time,.tran 0.02m 6m,E:\Individual Project\circuit_design_ai\TestCircuit\opamp_circuits\05_lt1001_two_stage_amplifier.cir,False
05_njf_transfer_curve/2026-04-22_10-26-38_878292,2026-04-22_10-26-38_878292,05_njf_transfer_curve.cir,05_njf_transfer_curve,dc,True,5.013465881347656,0,{},10,0,1,0,,151,5,2026-04-22T10:26:38.878292,sweep,.dc Vgs -3 0 0.02,E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\05_njf_transfer_curve.cir,False
05_njf_transfer_curve/2026-04-22_15-51-55_833758,2026-04-22_15-51-55_833758,05_njf_transfer_curve.cir,05_njf_transfer_curve,dc,True,2.5110244750976562,0,{},10,0,1,0,,151,5,2026-04-22T15:51:55.833758,sweep,.dc Vgs -3 0 0.02,E:\Individual Project\circuit_design_ai\TestCircuit\dc_analysis\05_njf_transfer_curve.cir,False
06_bjt_diff_pair/2026-04-22_10-26-58_512727,2026-04-22_10-26-58_512727,06_bjt_diff_pair.cir,06_bjt_diff_pair,op,True,7.022857666015625,0,{},12,0,0,0,,0,9,2026-04-22T10:26:58.512727,none,.op,E:\Individual Project\circuit_design_ai\TestWork\op_analysis\06_bjt_diff_pair.cir,False
06_bjt_diff_pair/2026-04-22_15-51-56_034854,2026-04-22_15-51-56_034854,06_bjt_diff_pair.cir,06_bjt_diff_pair,op,True,2.007007598876953,0,{},12,0,0,0,,0,9,2026-04-22T15:51:56.034854,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\op_analysis\06_bjt_diff_pair.cir,False
06_njf_source_follower/2026-04-22_10-27-29_543802,2026-04-22_10-27-29_543802,06_njf_source_follower.cir,06_njf_source_follower,tran,True,9.099960327148438,1,"{""v_out_pp"": 0.1775503}",10,0,1,0,,508,6,2026-04-22T10:27:29.543802,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\06_njf_source_follower.cir,True
06_njf_source_follower/2026-04-22_15-51-56_558396,2026-04-22_15-51-56_558396,06_njf_source_follower.cir,06_njf_source_follower,tran,True,3.9992332458496094,1,"{""v_out_pp"": 0.1775503}",10,0,1,0,,508,6,2026-04-22T15:51:56.558396,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestCircuit\transient_analysis\06_njf_source_follower.cir,True
07_vcvs_subckt_buffer/2026-04-22_10-27-31_928131,2026-04-22_10-27-31_928131,07_vcvs_subckt_buffer.cir,07_vcvs_subckt_buffer,tran,True,9.513616561889648,2,"{""v_amp_pp"": 0.9998452, ""v_buf_out_pp"": 0.9998452}",10,0,0,0,,508,6,2026-04-22T10:27:31.928131,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\07_vcvs_subckt_buffer.cir,True
07_vcvs_subckt_buffer/2026-04-22_15-51-56_597978,2026-04-22_15-51-56_597978,07_vcvs_subckt_buffer.cir,07_vcvs_subckt_buffer,tran,True,3.5181045532226562,2,"{""v_amp_pp"": 0.9998452, ""v_buf_out_pp"": 0.9998452}",10,0,0,0,,508,6,2026-04-22T15:51:56.597978,time,.tran 10u 5m,E:\Individual Project\circuit_design_ai\TestCircuit\transient_analysis\07_vcvs_subckt_buffer.cir,True
amplifier circuit/2026-04-22_10-26-01_903172,2026-04-22_10-26-01_903172,amplifier circuit.cir,amplifier circuit,tran,True,9.541511535644531,0,{},10,0,0,0,,1008,10,2026-04-22T10:26:01.903172,time,.tran 20u 20ms,E:\Individual Project\circuit_design_ai\TestWork\cir\amplifier circuit.cir,False
amplifier circuit/2026-04-22_15-51-54_251222,2026-04-22_15-51-54_251222,amplifier circuit.cir,amplifier circuit,tran,True,5.999088287353516,0,{},10,0,0,0,,1008,10,2026-04-22T15:51:54.251222,time,.tran 20u 20ms,E:\Individual Project\circuit_design_ai\TestCircuit\cir\amplifier circuit.cir,False
BJT/2026-04-22_10-26-04_120699,2026-04-22_10-26-04_120699,BJT.cir,BJT,dc,True,39.83664512634277,0,{},10,0,0,0,,16511,3,2026-04-22T10:26:04.120699,sweep,.dc V1 0 15V 10mV I1 0 100u 10u,E:\Individual Project\circuit_design_ai\TestWork\cir\BJT.cir,False
BJT/2026-04-22_15-51-54_345656,2026-04-22_15-51-54_345656,BJT.cir,BJT,dc,True,36.06772422790527,0,{},10,0,0,0,,16511,3,2026-04-22T15:51:54.345656,sweep,.dc V1 0 15V 10mV I1 0 100u 10u,E:\Individual Project\circuit_design_ai\TestCircuit\cir\BJT.cir,False
