# artifact_type: raw_data
# circuit_file: amplifier circuit.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\amplifier circuit.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:01.903172

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0009656000000000011,-2.1448166740601308e-06,2.144602211479899,12.0,-0.21446258044633135,-12.0,2.144816674060131,-0.00021446258023205544,-1.2e-11,0.0002144604356296573,-1.2e-11
0.0009856000000000012,-9.036251473958509e-07,0.9035347929226613,12.0,-0.09035447327992827,-12.0,0.9036251473958509,-9.035447318961332e-05,-1.2e-11,9.035356965478087e-05,-1.2e-11
0.0010056000000000012,3.5181708764235046e-07,-0.35178190906448037,12.0,0.035178577905244444,-12.0,-0.3518170876423505,3.5178577870109695e-05,-1.2e-11,-3.51782260881568e-05,-1.2e-11
0.0010256000000000013,1.6017109570431173e-06,-1.6015508002013752,12.0,0.16015684190219026,-12.0,-1.6017109570431172,0.0001601568417419763,-1.2e-11,-0.00016015524019123324,-1.2e-11
0.0010456000000000013,2.8263448878355495e-06,-2.826062278499003,12.0,0.28260933682927686,-12.0,-2.8263448878355497,0.0002826093365468907,-1.2e-11,-0.00028260651048438905,-1.2e-11
0.0010656000000000014,4.006405671370217e-06,-4.006005066456925,12.0,0.4006049136919311,-12.0,-4.006405671370217,0.00040060491329185766,-1.2e-11,-0.0004006009072862597,-1.2e-11
0.0010856000000000015,5.123283044156637e-06,-5.122770761445393,12.0,0.5122827117558879,-12.0,-5.123283044156637,0.0005122827112442607,-1.2e-11,-0.0005122775884728438,-1.2e-11
0.0011056000000000015,6.159363182835764e-06,-6.158747301330948,12.0,0.6158815054325958,-12.0,-6.159363182835764,0.0006158815048165067,-1.2e-11,-0.000615875346069413,-1.2e-11
0.0011256000000000016,7.098306484696353e-06,-7.097596717217204,12.0,0.7097674798588535,-12.0,-7.098306484696353,0.0007097674791491926,-1.2e-11,-0.0007097603815523688,-1.2e-11
0.0011456000000000016,7.925305252970522e-06,-7.9245127929741805,12.0,0.7924599971331964,-12.0,-7.925305252970522,0.0007924599963411438,-1.2e-11,-0.0007924520718279434,-1.2e-11
0.0011656000000000017,8.627317223057476e-06,-8.626454568111479,12.0,0.8626549468600931,-12.0,-8.627317223057476,0.0008626549459975763,-1.2e-11,-0.0008626463195428701,-1.2e-11
