# artifact_type: raw_data
# circuit_file: 06_njf_source_follower.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\06_njf_source_follower.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:29.543802

Time (s),V(in),I(VIN),V(gate),V(sfollow),V(vdd),I(VDD)
0.0006928000000000011,-0.09361086529760172,9.377145444161572e-08,-0.09361983381868004,2.315117064435696,10.0,-0.00046302356450844684
0.0007028000000000011,-0.09563455694321746,9.577058637799674e-08,-0.09564257775409166,2.3133246083659627,10.0,-0.0004626650496799556
0.0007128000000000012,-0.09728082268385146,9.739201567091071e-08,-0.0972878776817154,2.3118666825325183,10.0,-0.0004623734406461466
0.0007228000000000012,-0.0985431654607326,9.862894831055846e-08,-0.09854924035377663,2.31074900514769,10.0,-0.00046214988073600693
0.0007328000000000012,-0.09941660338363018,9.94768976740612e-08,-0.09942168774744427,2.309975959351489,10.0,-0.00046199524707901674
0.0007428000000000013,-0.0998976893920983,9.993212240003158e-08,-0.09990177671081202,2.3095505766444746,10.0,-0.0004619101456775354
0.0007528000000000013,-0.09998452485944885,9.999322084924822e-08,-0.09998761255144634,2.3094745249832287,10.0,-0.0004618949106056647
0.0007628000000000013,-0.09967676708576355,9.965955706167651e-08,-0.09967885651387148,2.309748102643053,10.0,-0.00046194960123102646
0.0007728000000000013,-0.09897563065037397,9.89328427271341e-08,-0.09897672711648296,2.310370236809279,10.0,-0.0004620740034777526
0.0007828000000000014,-0.09788388261847185,9.781555109292239e-08,-0.09788399534261173,2.3113384879590684,10.0,-0.00046226762914791664
0.0007928000000000014,-0.09640583162076687,9.631248638203305e-08,-0.09640497370471937,2.312649058961606,10.0,-0.00046252971930549336
0.0008028000000000014,-0.09454731084928966,9.44291858109847e-08,-0.09454549922488122,2.314296809923827,10.0,-0.0004628592456690228
0.0008128000000000014,-0.09231565503644794,9.217347659434827e-08,-0.09231291039872748,2.3162752776682867,10.0,-0.0004632549161005528
0.0008228000000000015,-0.08971967150818838,8.955386635034479e-08,-0.08971601823375319,2.3185767008431872,10.0,-0.0004637151780180204
0.0008328000000000015,-0.08676960542550491,8.658108810802312e-08,-0.08676507147629743,2.3211920495099654,10.0,-0.00046423822591812325
0.0008428000000000015,-0.08347709935146903,8.326647946144128e-08,-0.08347171616442373,2.3241110601665933,10.0,-0.0004648220067942077
0.0008528000000000015,-0.0798551473033519,7.962351618318042e-08,-0.07984894966632838,2.327322275027517,10.0,-0.0004654642295722766
0.0008628000000000016,-0.07591804347117503,7.566618084701993e-08,-0.07591106938566637,2.3308130864803163,10.0,-0.0004661623724064867
0.0008728000000000016,-0.07168132580507229,7.141048568790054e-08,-0.07167361633623096,2.3345697854984464,10.0,-0.00046691369396967275
0.0008828000000000016,-0.06716171469409969,6.687283150667855e-08,-0.06715331380867239,2.338577614904113,10.0,-0.00046771524249855645
0.0008928000000000016,-0.06237704697849829,6.207152070114574e-08,-0.06236800137130995,2.342820826222145,10.0,-0.0004685638687629279
0.0009028000000000017,-0.05734620555583467,5.7025107439920286e-08,-0.05733656446550563,2.347282740984725,10.0,-0.00046945623673977366
0.0009128000000000017,-0.052089044858831535,5.1753901884540876e-08,-0.05207885987345587,2.3519458152065194,10.0,-0.0004703888380817034
0.0009228000000000017,-0.0466263124989915,4.6278312728839643e-08,-0.04661563735254276,2.3567917078400975,10.0,-0.0004713580042423615
0.0009328000000000017,-0.04097956738525396,4.062034382988633e-08,-0.04096845774552242,2.3618013519186714,10.0,-0.00047235992226823953
0.0009428000000000018,-0.035171094640830236,3.4801930338425324e-08,-0.03515960788972785,2.3669550291599175,10.0,-0.00047339064815332677
0.0009528000000000018,-0.02922381765400396,2.8846429022365283e-08,-0.02921201266110477,2.37223244670801,10.0,-0.00047444612375890927
0.0009628000000000018,-0.023161207609989548,2.277694934396668e-08,-0.023149144500198525,2.377612816771167,10.0,-0.0004755221911594276
0.0009728000000000019,-0.017007190860887752,1.6617838866257728e-08,-0.016994930777155682,2.3830749377980016,10.0,-0.0004766146104699942
0.0009828000000000018,-0.010786054499304632,1.0393010686868959e-08,-0.010773659361324796,2.3885972779372877,10.0,-0.0004777190749383209
0.0009928000000000018,-0.004522350508292153,4.1274254191292145e-09,-0.0045098827681317845,2.394158059401121,10.0,-0.0004788312294223829
0.0010028000000000018,0.0017592011341111347,-2.1545835415283376e-09,0.0017716787384808913,2.39973534445536,10.0,-0.00047994668598327905
0.0010128000000000018,0.008033810013340635,-8.427829959736441e-09,0.008046234705642885,2.40530712165358,10.0,-0.00048106104273593076
0.0010228000000000019,0.014276713114746063,-1.4667950110156674e-08,0.014289022328147966,2.410851393017629,10.0,-0.00048216989967464485
0.001032800000000002,0.020463272551897477,-2.0849923121346592e-08,0.020475404175933222,2.4163462607710535,10.0,-0.00048326887763394666
0.001042800000000002,0.02656907280106642,-2.6949745395368763e-08,0.026580965426759584,2.4217700143316474,10.0,-0.0004843536340857213
0.001052800000000002,0.03257001705814431,-3.294294979687418e-08,0.03258161022036151,2.427101216160093,10.0,-0.00048541988189221286
0.001062800000000002,0.03844242233771919,-3.8806277631413255e-08,0.03845365675379925,2.4323187871667535,10.0,-0.0004864634048136196
0.001072800000000002,0.044163112938999195,-4.451619516239458e-08,0.044173930742715285,2.43740209028598,10.0,-0.0004874800757921349
0.001082800000000002,0.049709511909716154,-5.005056162230015e-08,0.049719856879648326,2.44233101291621,10.0,-0.0004884658718804502
0.001092800000000002,0.05505973014704116,-5.538714159709912e-08,0.05506954792845724,2.4470860468578524,10.0,-0.0004894168917743968
0.001102800000000002,0.06019265278387385,-6.05052676572182e-08,0.060201891103243664,2.4516483664416246,10.0,-0.0004903293699118905
0.0011128000000000021,0.06508802251957578,-6.538434717436037e-08,0.06509663139087145,2.455999903505763,10.0,-0.0004911996929823914
0.0011228000000000021,0.06972651956628205,-7.000551820526835e-08,0.06973445148825082,2.4601234199362816,10.0,-0.000492024412920955
0.0011328000000000022,0.07408983789527683,-7.435014946592655e-08,0.07409704803890724,2.4640025764388405,10.0,-0.000492800262183124
