# artifact_type: raw_data
# circuit_file: 04_pjf_common_source.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\04_pjf_common_source.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:02.635629

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(drain)_mag,V(drain)_phase,V(drain)_real,V(drain)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(gate)_mag,V(gate)_phase,V(gate)_real,V(gate)_imag,V(src)_mag,V(src)_phase,V(src)_real,V(src)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
3.162277660168377,0.7775661575750596,29.506854452746833,0.6767133229551419,0.38297285535799086,0.870493199851097,2.7911023606961405,0.8694605436308755,0.04238837170857484,1.0,0.0,1.0,0.0,9.987410663652918e-07,-177.11636578684087,-9.974764281186064e-07,-5.0244332936432454e-08,0.9987337685262174,2.8812352961817673,0.9974712423105938,0.050202202720007506,0.3047593825032771,139.95272517135118,-0.23329751830543746,0.19608811584668462,0.0,0.0,0.0,0.0,0.0001921886973175222,-176.16671702481904,-0.00019175873307158324,-1.2848488914555105e-05
3.5481338923357515,0.7943651207410078,26.646526087665464,0.7099958767012958,0.356260859647863,0.8706204369080317,2.4874499941467563,0.8698000965071021,0.03778541091701719,1.0,0.0,1.0,0.0,9.990014293820081e-07,-177.42900119533184,-9.979958375775086e-07,-4.481254383833334e-08,0.9989934041043221,2.5683507130603354,0.997989890437957,0.04476605887920268,0.287891955330061,136.27868837318383,-0.2080624286117175,0.19897689248744382,0.0,0.0,0.0,0.0,0.00019251372393236713,-176.54492513994342,-0.00019216380314052283,-1.1602011242799879e-05
3.9810717055349687,0.8085090262997322,24.00782769439737,0.7385648143412068,0.3289511523391883,0.8707245691073271,2.2173278558574827,0.8700726238030855,0.033688344506001146,1.0,0.0,1.0,0.0,9.99208534123493e-07,-177.70771518070828,-9.984089574768919e-07,-3.996558888751407e-08,0.9991997913146289,2.2893619832512964,0.9984022591162618,0.03991430764453422,0.2701085768807636,132.66567116150947,-0.18305777489385452,0.19861645036467213,0.0,0.0,0.0,0.0,0.00019279128952836964,-176.8906934771653,-0.00019250747629676943,-1.0457193115764657e-05
4.4668359215096265,0.8202975682943856,21.588029306415397,0.7627564641281102,0.3018123207897006,0.8708115361865955,1.9768661756976251,0.8702932610550133,0.030039495965955596,1.0,0.0,1.0,0.0,9.993732596828365e-07,-177.95615202423872,-9.987374844733786e-07,-3.564195949840306e-08,0.9993638276599398,2.0406207891893824,0.9987300643821869,0.035585369666182566,0.251755750615502,129.1532854271818,-0.15895789176162745,0.19522639835502154,0.0,0.0,0.0,0.0,0.00019302581424715274,-177.2058895420788,-0.00019279633616906244,-9.409448738485366e-06
5.0118723362727176,0.8300388627373513,19.380221217347426,0.7830065909408699,0.2754363668753146,0.8708851148239809,1.7626705013508397,0.8704730233521957,0.026788035352865287,1.0,0.0,1.0,0.0,9.995042663311583e-07,-178.1775695452402,-9.989987040031514e-07,-3.178628342872039e-08,0.9994941888591352,1.8188645631733888,0.9989906079423476,0.03172378927806894,0.2331921327791444,125.77678079288214,-0.13633086987898235,0.18918896560879572,0.0,0.0,0.0,0.0,0.0001932221104386375,-177.49238587210758,-0.0001930370840584803,-8.453883164572014e-06
5.623413251903484,0.8380304836816189,17.374447731906976,0.7997941672754133,0.25024863950055065,0.8709477205395533,1.571769843393181,0.8706200272903301,0.023889328036359136,1.0,0.0,1.0,0.0,9.996084465312073e-07,-178.374877881509,-9.992063803517636e-07,-2.834882432942073e-08,0.99959777869717,1.6211777372173146,0.9991976660222608,0.02827973465192402,0.21476022738088318,122.56514405457116,-0.11559644882004626,0.18099562504348848,0.0,0.0,0.0,0.0,0.000193385054266522,-177.75207807937807,-0.00019323623663721983,-7.5852530577456595e-06
6.3095734448019245,0.8445473484181502,15.558728565697537,0.8135997772398798,0.22652952610056465,0.871000980652859,1.401562759347825,0.87074039720504,0.021304200840472003,1.0,0.0,1.0,0.0,9.996912853062384e-07,-178.55067499031637,-9.99371470135391e-07,-2.528498757496878e-08,0.9996800889730282,1.4449562769447744,0.9993622024065844,0.02520850432260166,0.1967634628810823,119.54004724304117,-0.09701064040635088,0.1711864362994473,0.0,0.0,0.0,0.0,0.0001935193416221956,-177.9868759819928,-0.00019339990280360284,-6.798027467216244e-06
7.07945784384137,0.8498352184488555,13.919914591097138,0.8248780443935966,0.20444097043745801,0.8710461035919196,1.2497659462109891,0.8708388958222566,0.018998213224878317,1.0,0.0,1.0,0.0,9.997571475491177e-07,-178.70727893695963,-9.99502692845066e-07,-2.2554845843187417e-08,0.9997454870613386,1.2878754118385498,0.9994929392496148,0.0224700531748116,0.17945127934077498,116.71563509608403,-0.08067461396153404,0.1602946297266328,0.0,0.0,0.0,0.0,0.00019362932654393467,-178.1986814461785,-0.0001935336421418897,-6.086497938277195e-06
7.943282347242804,0.8541083524689244,12.444364050129758,0.8340416885086361,0.18405308904455644,0.871084090091532,1.1143683157731255,0.8709193388705698,0.01694099146573075,1.0,0.0,1.0,0.0,9.998095067538673e-07,-178.84675711242153,-9.996069862921136e-07,-2.012269244930923e-08,0.9997974453637737,1.1478604062668238,0.9995968132779849,0.02002854563929796,0.16301267870601824,114.09900059174487,-0.06656044655894353,0.14880470547931457,0.0,0.0,0.0,0.0,0.00019371892940270267,-178.3893620774389,-0.00019364239370579206,-5.444903012941045e-06
8.912509381337442,0.8575499529827961,11.11844975762112,0.8414542714538523,0.16536816777379634,0.8711158364121849,0.9935918335320707,0.8709848561692649,0.015105653640460995,1.0,0.0,1.0,0.0,9.998511269863319e-07,-178.97095256856926,-9.99689869757736e-07,-1.795662662081043e-08,0.9998387242199422,1.0230601770896814,0.9996793399293422,0.017851940180169636,0.1475769873950623,111.69112393335583,-0.05454486993947609,0.13712703734817586,0.0,0.0,0.0,0.0,0.00019379159878149952,-178.56072622085523,-0.00019373045902923574,-4.8675458509701836e-06
