# artifact_type: raw_data
# circuit_file: 01_inverting_amplifier_subckt.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\subcircuit\01_inverting_amplifier_subckt.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:56.328460

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,V(inv)_mag,V(inv)_phase,V(inv)_real,V(inv)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,I(E.XOPAMP.EOPAMP)_mag,I(E.XOPAMP.EOPAMP)_phase,I(E.XOPAMP.EOPAMP)_real,I(E.XOPAMP.EOPAMP)_imag
158.48931924611082,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
177.82794100389168,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
199.52623149688728,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
223.87211385683318,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
251.18864315095712,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
281.83829312644434,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
316.22776601683677,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
354.8133892335741,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
398.10717055349573,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
446.6835921509614,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
501.1872336272703,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
562.3413251903468,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
630.9573444801906,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
