# artifact_type: raw_data
# circuit_file: 02_cmos_nand_gate.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\02_cmos_nand_gate.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:47.370353

Time (s),V(out),V(a),V(b),V(mid),V(mna#body diode),V(mna#gate),V(mnb#body diode),V(mnb#gate),V(mpa#body diode),V(mpa#gate),V(mpb#body diode),V(mpb#gate),V(vdd),I(VA),I(VB),I(VDD)
6.05101989827487e-06,-0.015752757934177946,4.898010172512971,5.0,-0.006616159954223926,-0.007739881939382839,4.919120646537224,-0.0037122289308735065,4.9745298721196205,4.999393070378328,4.90456458301475,4.999393070378328,4.999350149885715,5.0,0.009221628175343888,-0.008706659331554567,-0.0024097200883761755
6.051345225817965e-06,-0.03134255436036791,4.865477418203433,5.0,-0.018471134068564314,-0.019486899028421958,4.891302837500203,-0.0031799528367689915,4.979902385593353,4.999531716299581,4.872137625861715,4.999531716299581,4.999454532907763,5.0,0.01082854231835051,-0.006881027166294462,-0.0022877778788271204
6.051995880904157e-06,-0.05697368578717644,4.80041190958427,5.0,-0.037504884243737116,-0.03837302331993612,4.8342805067324175,-0.0023898846384263215,4.987087694552928,4.999591659822027,4.807188539575821,4.999591659822027,4.999568364800838,5.0,0.01354840904656629,-0.004447980215411151,-0.0022790288237951625
6.053297191076539e-06,-0.09112057267551281,4.670280892346029,5.0,-0.06225270716873819,-0.06275541230744508,4.71561986711361,-0.0012949973086559081,4.994207059943661,4.999823306013893,4.67728828618781,4.999823306013893,4.999780786107736,5.0,0.0174487895364539,-0.002004051316200961,-0.002098798664511752
6.055359257118442e-06,-0.11771202072407443,4.46407428815578,5.0,-0.08099492911768962,-0.08121674994664815,4.518632276839696,-0.0004919898632998864,4.99805805676305,4.999891158861713,4.471245007195879,4.999891158861713,4.999903842590808,5.0,0.020576235908004836,-0.0006793668820475052,-0.0020849083929406344
6.057821972671867e-06,-0.12885176676813812,4.21780273281328,5.0,-0.08864016111852106,-0.08869277647310249,4.276232505054474,-0.0001270844692414794,4.999430171744166,5.000008052479802,4.225109487361,5.000008052479802,4.999985166120673,5.0,0.02191217559630454,-0.00019488737838679882,-0.0019795554155621975
6.0610808867473285e-06,-0.13322183134614343,3.8919113252671194,5.0,-0.09132270052243804,-0.09136628879770402,3.951587206002391,-3.5546954007622915e-05,4.9999064460861105,4.99996270483888,3.8992965714623953,4.99996270483888,4.999982717791953,5.0,0.022353708976849296,-3.6945373978580776e-05,-0.0020383747569805875
6.065444948819114e-06,-0.13499991243395937,3.4555051180885377,5.0,-0.09188933504579154,-0.09189855256296656,3.5154083489222323,8.767802740770794e-06,4.99999377843611,5.0000279896144715,3.4630418252686246,5.0000279896144715,5.000007298845987,5.0,0.022479979337927114,3.590940327313774e-07,-0.0019666919058954273
6.072753423345874e-06,-0.1161011124662925,2.7246576654125807,5.0,-0.08254152226503307,-0.0822975949338223,2.7864543738313277,0.0002294029735459024,5.000548651196043,5.000029015471455,2.7325164027977604,5.000029015471455,5.000052276740033,5.0,0.023218481934642154,0.0002003093120253041,-0.005094316037524093
6.079996874868161e-06,0.3643371416548981,2.0003125131838644,5.0,0.08893456339805776,0.09573233121938754,2.1008254069854426,0.003942363790223693,5.009717654641819,5.001460837504476,2.0115577159911724,5.001460837504476,5.001536004059144,5.0,0.037252698869628786,0.0037512195669877624,-0.0608529535496422
6.085007170953598e-06,2.826937942829817,1.4992829046401788,5.0,0.0873256617180001,0.13420022350147637,1.6783677612559433,-0.0037354204048753057,4.994888352972351,5.011482006827386,1.5820001247886404,5.011482006827386,5.015203455722034,5.0,0.0872673589214088,0.003363936231461917,-0.11408976112621362
6.089678010313809e-06,5.00345212148092,1.0321989686190944,5.0,-0.0855616490992001,-0.09386236236405993,1.0199278706332753,-0.002949592933123513,4.988181956605989,5.00760975689765,1.0891973572117828,5.00760975689765,5.028142591079085,5.0,0.014909096868956362,0.005441515895024729,-0.0028738515018102836
6.091960070627185e-06,4.9524229160858955,0.803992937281448,5.0,-0.020017286071419102,-0.015496496605924448,0.8779723456631534,0.007457207630061392,5.0107817047343275,4.991484640718538,0.7936215326186753,4.991484640718538,4.977203214725738,5.0,0.021202667906310868,-0.004005026846644721,-0.012658170646825926
6.094167811487425e-06,4.975699362704909,0.5832188512574303,5.0,-0.06375418134360354,-0.0660406050749599,0.5883393683633538,-0.009683202893839261,4.992369751582303,5.0086771009138165,0.6206893354871885,5.0086771009138165,5.017244154814954,5.0,0.014197000445227231,0.003204635465752448,-0.0020546299667894416
6.0962386988211685e-06,4.966027657834127,0.3761301178831147,5.0,-0.030958811929525862,-0.030141077457174092,0.43579900015235445,0.010788011264041825,5.005574662718375,4.991535472452653,0.3816227086390731,4.991535472452653,4.98775242139599,5.0,0.0217204910083994,-0.0022243052952117814,-0.01447642746095596
