# artifact_type: raw_data
# circuit_file: 04_npn_pulse_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\04_npn_pulse_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:25.647033

Time (s),V(in),I(VIN),V(base),V(col),V(vdd),I(VDD)
3.0365938119398734e-05,5.0,-0.00042901635183804416,0.7098364816195586,0.07234297213907366,5.0,-0.0049276570278609265
3.0415938119398735e-05,5.0,-0.0004289979661035907,0.710020338964093,0.068479553629679,5.0,-0.004931520446370321
3.0465938119398736e-05,5.0,-0.000428959370701035,0.7104062929896502,0.06555761928977039,5.0,-0.00493444238071023
3.0515938119398738e-05,5.0,-0.0004289442870883288,0.7105571291167121,0.06291917911602088,5.0,-0.004937080820883979
3.0565938119398735e-05,5.0,-0.00042891016896645065,0.7108983103354933,0.06087060377801144,5.0,-0.004939129396221989
3.061593811939874e-05,5.0,-0.0004288974590943136,0.7110254090568643,0.05891334444311009,5.0,-0.00494108665555689
3.066593811939874e-05,5.0,-0.00042886700967609856,0.7113299032390142,0.057385229472223354,5.0,-0.004942614770527777
3.071593811939874e-05,5.0,-0.00042885618856473346,0.7114381143526656,0.055862182491939395,5.0,-0.004944137817508061
3.076593811939874e-05,5.0,-0.0004288288758935126,0.7117112410648743,0.054677469091950474,5.0,-0.0049453225309080496
3.081593811939874e-05,5.0,-0.00042881962851635527,0.7118037148364471,0.05345442843179148,5.0,-0.004946545571568209
3.086593811939874e-05,5.0,-0.00042879504689732336,0.7120495310267663,0.05251115264811548,5.0,-0.004947488847351885
3.0915938119398744e-05,5.0,-0.00042878713471028495,0.7121286528971509,0.05150664425702963,5.0,-0.004948493355742971
3.0965938119398745e-05,5.0,-0.00042876495372911705,0.7123504627088296,0.05074074679811919,5.0,-0.004949259253201881
3.1015938119398746e-05,5.0,-0.00042875818501716083,0.7124181498283916,0.04990160425783284,5.0,-0.004950098395742167
3.106593811939875e-05,5.0,-0.00042873812754528636,0.7126187245471365,0.049270336584900286,5.0,-0.0049507296634151
3.111593811939875e-05,5.0,-0.00042873234370515806,0.7126765629484196,0.04856000030734394,5.0,-0.004951439999692656
3.116593811939875e-05,5.0,-0.00042871417338523056,0.7128582661476945,0.048033519989893914,5.0,-0.004951966480010106
3.121593811939875e-05,5.0,-0.00042870924096820475,0.7129075903179525,0.04742581936918186,5.0,-0.004952574180630818
3.126593811939875e-05,5.0,-0.000428692753971952,0.71307246028048,0.04698254763381778,5.0,-0.004953017452366182
3.1315938119398754e-05,5.0,-0.0004286885594468651,0.7131144055313485,0.04645814083724225,5.0,-0.004953541859162758
3.1365938119398755e-05,5.0,-0.00042867357857512614,0.7132642142487385,0.046082026317664504,5.0,-0.004953917973682336
3.1415938119398756e-05,5.0,-0.00042867002460294807,0.713299753970519,0.0456262411111786,5.0,-0.004954373758888821
3.146593811939876e-05,5.0,-0.00042865639483880713,0.7134360516119287,0.04530506266938626,5.0,-0.004954694937330614
3.151593811939876e-05,5.0,-0.0004286533974836793,0.7134660251632071,0.04490652520412007,5.0,-0.00495509347479588
3.156593811939876e-05,5.0,-0.0004286409825243815,0.713590174756185,0.04463079472329523,5.0,-0.004955369205276705
3.161593811939876e-05,5.0,-0.0004286384690909542,0.7136153090904584,0.04428052510516066,5.0,-0.0049557194748948395
3.166593811939876e-05,5.0,-0.00042862714857744587,0.7137285142255415,0.044042753333040446,5.0,-0.00495595724666696
3.1715938119398763e-05,5.0,-0.00042862505589085376,0.7137494410914628,0.043733549807727035,5.0,-0.004956266450192273
3.1765938119398765e-05,5.0,-0.0004286147231548999,0.713852768451001,0.04352774062672728,5.0,-0.004956472259373273
3.1815938119398766e-05,5.0,-0.00042861299616659906,0.7138700383340092,0.04325374875955661,5.0,-0.004956746251240443
3.186593811939877e-05,5.0,-0.0004286035563733638,0.7139644362663625,0.04307504201043007,5.0,-0.00495692495798957
3.191593811939877e-05,5.0,-0.00042860214701438237,0.713978529856176,0.042831446145906844,5.0,-0.004957168553854093
3.196593811939877e-05,5.0,-0.000428593515613991,0.71406484386009,0.0426758598442057,5.0,-0.004957324140155794
3.201593811939877e-05,5.0,-0.000428592381840583,0.7140761815941697,0.04245865757002374,5.0,-0.004957541342429976
3.206593811939877e-05,5.0,-0.000428584483265364,0.71415516734636,0.04232289828603558,5.0,-0.004957677101713964
3.211593811939877e-05,5.0,-0.00042858358825715784,0.7141641174284218,0.042128732567056064,5.0,-0.004957871267432944
3.2165938119398774e-05,5.0,-0.0004285763548170133,0.7142364518298668,0.04201005357696208,5.0,-0.004957989946423038
3.2215938119398776e-05,5.0,-0.0004285756662979082,0.7142433370209184,0.041836085788215766,5.0,-0.004958163914211784
3.226593811939878e-05,5.0,-0.00042856903723735275,0.7143096276264725,0.04173217935427428,5.0,-0.0049582678206457256
3.231593811939878e-05,5.0,-0.0004285685268964921,0.714314731035079,0.0415759918538136,5.0,-0.004958424008146186
3.236593811939878e-05,5.0,-0.00042856244758492925,0.7143755241507073,0.04148490630895697,5.0,-0.004958515093691043
3.241593811939878e-05,5.0,-0.0004285620905801564,0.7143790941984363,0.041344426698375125,5.0,-0.004958655573301625
3.246593811939878e-05,5.0,-0.0004285565118129138,0.7144348818708622,0.04126450183830216,5.0,-0.004958735498161698
3.251593811939878e-05,5.0,-0.0004285562863428404,0.7144371365715958,0.04113794338291826,5.0,-0.004958862056617082
3.2565938119398784e-05,5.0,-0.00042855116373497707,0.7144883626502291,0.04106775956023607,5.0,-0.004958932240439764
3.2615938119398785e-05,5.0,-0.00042855105066859285,0.7144894933140714,0.04095357381247125,5.0,-0.004959046426187529
3.2665938119398786e-05,5.0,-0.00042854634412693574,0.7145365587306425,0.040891911416981896,5.0,-0.004959108088583018
3.271593811939879e-05,5.0,-0.0004285463266818127,0.7145367331818729,0.04078875016861255,5.0,-0.004959211249831387
3.276593811939879e-05,5.0,-0.0004285419999433655,0.7145800005663446,0.040734557072171856,5.0,-0.004959265442927828
3.281593811939879e-05,5.0,-0.0004285420634051614,0.714579365948386,0.04064124151869554,5.0,-0.004959358758481304
3.286593811939879e-05,5.0,-0.00042853808363213123,0.7146191636786876,0.0405936066932493,5.0,-0.00495940639330675
3.291593811939879e-05,5.0,-0.0004285382151093864,0.7146178489061359,0.040509102231899095,5.0,-0.004959490897768101
3.2965938119398794e-05,5.0,-0.00042853455253275246,0.7146544746724754,0.04046723419959221,5.0,-0.0049595327658004075
3.3015938119398795e-05,5.0,-0.00042853474074199926,0.7146525925800078,0.040390629670398075,5.0,-0.004959609370329602
3.3065938119398796e-05,5.0,-0.00042853136834689054,0.7146863165310947,0.04035383877075319,5.0,-0.004959646161229247
3.31159381193988e-05,5.0,-0.0004285316034239111,0.7146839657608893,0.040284329233046694,5.0,-0.004959715670766953
3.31659381193988e-05,5.0,-0.0004285284966711474,0.7147150332885256,0.040252012931174364,5.0,-0.004959747987068826
3.32159381193988e-05,5.0,-0.0004285287700048807,0.7147122999511927,0.040188885276826194,5.0,-0.004959811114723174
3.32659381193988e-05,5.0,-0.0004285259065839133,0.7147409341608671,0.04016051591376676,5.0,-0.0049598394840862335
3.33159381193988e-05,5.0,-0.00042852621067004975,0.7147378932995025,0.04010313677432685,5.0,-0.004959896863225673
3.3365938119398803e-05,5.0,-0.0004285235702792662,0.714764297207338,0.04007825129320947,5.0,-0.004959921748706791
3.3415938119398805e-05,5.0,-0.0004285238985910102,0.7147610140898986,0.04002605681562455,5.0,-0.0049599739431843756
3.3465938119398806e-05,5.0,-0.00042852146274196563,0.7147853725803438,0.040004248097618364,5.0,-0.0049599957519023815
3.351593811939881e-05,5.0,-0.00042852180961581277,0.7147819038418723,0.03995673525256528,5.0,-0.004960043264747435
3.356593811939881e-05,5.0,-0.0004285195614584462,0.7148043854155386,0.03993764477305222,5.0,-0.004960062355226948
3.361593811939881e-05,5.0,-0.0004285199219931272,0.7148007800687278,0.03989436392852669,5.0,-0.0049601056360714735
3.366593811939881e-05,5.0,-0.0004285178461594345,0.7148215384056547,0.0398776755027851,5.0,-0.004960122324497215
3.371593811939881e-05,5.0,-0.00042851821612642906,0.7148178387357094,0.03983822404865965,5.0,-0.004960161775951341
3.376593811939881e-05,5.0,-0.00042851629859041616,0.7148370140958382,0.03982365848192632,5.0,-0.0049601763415180735
3.3815938119398814e-05,5.0,-0.00042851667435465755,0.7148332564534245,0.03978767533254309,5.0,-0.004960212324667457
3.3865938119398816e-05,5.0,-0.00042851490230668446,0.7148509769331556,0.03977498582497113,5.0,-0.004960225014175029
3.391593811939882e-05,5.0,-0.0004285152807562555,0.714847192437445,0.039742146659358414,5.0,-0.004960257853340642
3.396593811939882e-05,5.0,-0.0004285136424901336,0.7148635750986645,0.03973111484439361,5.0,-0.004960268885155606
3.401593811939882e-05,5.0,-0.00042851402097390844,0.7148597902609155,0.03970112796934552,5.0,-0.004960298872030654
3.406593811939882e-05,5.0,-0.00042851250578532403,0.7148749421467598,0.03969156048622068,5.0,-0.00496030843951378
3.411593811939882e-05,5.0,-0.0004285128820576417,0.714871179423583,0.0396641632279595,5.0,-0.00496033583677204
3.416593811939882e-05,5.0,-0.0004285114801526557,0.714885198473443,0.039655888746702506,5.0,-0.004960344111253298
3.4215938119398824e-05,5.0,-0.00042851185232422483,0.7148814767577519,0.03963084429318368,5.0,-0.004960369155706816
3.4265938119398825e-05,5.0,-0.00042851055473675626,0.7148944526324376,0.039623710924672643,5.0,-0.004960376289075328
3.4315938119398827e-05,5.0,-0.00042851092123108735,0.7148907876891265,0.03960080555378386,5.0,-0.004960399194446216
3.436593811939883e-05,5.0,-0.0004285097197484182,0.7149028025158185,0.0395946785888203,5.0,-0.00496040532141118
3.441593811939883e-05,5.0,-0.00042851007926316407,0.7148992073683593,0.03957371922841678,5.0,-0.0049604262807715835
3.446593811939883e-05,5.0,-0.0004285089663586179,0.7149103364138212,0.03956847915904163,5.0,-0.004960431520840958
3.451593811939883e-05,5.0,-0.00042850931783127447,0.7149068216872553,0.039549291233435056,5.0,-0.004960450708766565
3.456593811939883e-05,5.0,-0.0004285082866033225,0.7149171339667753,0.03954483201723758,5.0,-0.004960455167982762
3.4615938119398834e-05,5.0,-0.00042850862918080774,0.7149137081919226,0.039527257541890314,5.0,-0.004960472742458109
3.4665938119398835e-05,5.0,-0.0004285076732979379,0.7149232670206209,0.03952348507626265,5.0,-0.0049604765149237375
3.4715938119398836e-05,5.0,-0.0004285080063096205,0.7149199369037953,0.03950738096828888,5.0,-0.004960492619031711
3.476593811939884e-05,5.0,-0.00042850711996038365,0.7149288003961635,0.03950421174663923,5.0,-0.004960495788253361
3.481593811939884e-05,5.0,-0.0004285074428941823,0.7149255710581772,0.03948944832355156,5.0,-0.004960510551676449
3.486593811939884e-05,5.0,-0.0004285066207418933,0.7149337925810667,0.039486808249706976,5.0,-0.004960513191750293
3.491593811939884e-05,5.0,-0.0004285069332231096,0.7149306677689038,0.03947326789288206,5.0,-0.004960526732107118
3.496593811939884e-05,5.0,-0.00042850617036473864,0.714938296352614,0.03947109123339608,5.0,-0.004960528908766604
3.5015938119398844e-05,5.0,-0.0004285064721373244,0.7149352786267559,0.03945866719607065,5.0,-0.004960541332803929
3.5065938119398845e-05,5.0,-0.0004285057640661648,0.7149423593383518,0.039456895653063144,5.0,-0.004960543104346937
3.51e-05,4.999999999999873,-0.00042850611284433126,0.7149388715565608,0.03944756124021288,5.0,-0.004960552438759787
3.5105e-05,4.750000000000003,-0.00040356483449926616,0.7143516550073408,0.03936571521336955,5.0,-0.00496063428478663
3.5115e-05,4.249999999999923,-0.00035368445014571383,0.7131554985427841,0.0391959658575251,5.0,-0.004960804034142475
3.5135e-05,3.249999999999763,-0.00025392670468744216,0.7107329531253413,0.03892046264618947,5.0,-0.004961079537353811
3.5175e-05,1.249999999999782,-5.442181401693579e-05,0.7057818598304242,0.03863918063307235,5.0,-0.004961360819366927
3.5199999999999995e-05,9.059419880941277e-14,7.026077334666151e-05,0.7026077334667056,0.03864779769872546,5.0,-0.004961352202301274
3.520499999999999e-05,0.0,7.025630891539217e-05,0.7025630891539216,0.03876307000101465,5.0,-0.004961236929998986
3.5214999999999994e-05,0.0,7.024861214988057e-05,0.7024861214988057,0.03900741195386043,5.0,-0.0049609925880461396
3.5235e-05,0.0,7.023368449841569e-05,0.7023368449841568,0.03950305910508571,5.0,-0.004960496940894914
3.5275e-05,0.0,7.020420293387964e-05,0.7020420293387964,0.040507479171416796,5.0,-0.004959492520828584
3.5325e-05,0.0,7.01686828725272e-05,0.701686828725272,0.041794845464603485,5.0,-0.004958205154535397
3.5375e-05,0.0,7.013426079040514e-05,0.7013426079040513,0.04311510731254028,5.0,-0.0049568848926874595
3.5425e-05,0.0,7.010121430014203e-05,0.7010121430014202,0.044472848157277166,5.0,-0.004955527151842723
3.5475e-05,0.0,7.006920754557703e-05,0.7006920754557703,0.045866644747433724,5.0,-0.004954133355252566
3.5525e-05,0.0,7.003850531606469e-05,0.7003850531606469,0.047301359026682664,5.0,-0.004952698640973317
3.5575000000000004e-05,0.0,7.000878296360453e-05,0.7000878296360452,0.048776145613216346,5.0,-0.004951223854386784
3.5625000000000005e-05,0.0,6.998029258091894e-05,0.6998029258091893,0.050296281739233534,5.0,-0.004949703718260767
3.5675000000000007e-05,0.0,6.995272107054329e-05,0.6995272107054329,0.051861662124063006,5.0,-0.004948138337875937
3.572500000000001e-05,0.0,6.992630803339763e-05,0.6992630803339762,0.053478171332782175,5.0,-0.004946521828667218
3.577500000000001e-05,0.0,6.99007521083167e-05,0.6990075210831669,0.05514667569239942,5.0,-0.004944853324307601
3.582500000000001e-05,0.0,6.987628059560996e-05,0.6987628059560995,0.05687395031859321,5.0,-0.0049431260496814065
3.587500000000001e-05,0.0,6.985260387952074e-05,0.6985260387952074,0.058662178953462825,5.0,-0.004941337821046538
3.592500000000001e-05,0.0,6.982993709484101e-05,0.6982993709484101,0.0605194594414452,5.0,-0.004939480540558555
3.5975000000000014e-05,0.0,6.980800216587046e-05,0.6980800216587046,0.0624498308201164,5.0,-0.004937550169179883
3.6025000000000015e-05,0.0,6.978700207300289e-05,0.6978700207300289,0.06446340064253622,5.0,-0.004935536599357464
3.6075000000000016e-05,0.0,6.976666978628177e-05,0.6976666978628177,0.06656693951485143,5.0,-0.004933433060485149
3.612500000000002e-05,0.0,6.974719589670066e-05,0.6974719589670065,0.06877371189974256,5.0,-0.0049312262881002576
3.617500000000002e-05,0.0,6.97283234811503e-05,0.6972832348115029,0.07109472820192637,5.0,-0.0049289052717980735
3.622500000000002e-05,0.0,6.971023001524174e-05,0.6971023001524174,0.07354844519472487,5.0,-0.004926451554805276
3.627500000000002e-05,0.0,6.969266695273583e-05,0.6969266695273583,0.07615289085222404,5.0,-0.004923847109147776
3.632500000000002e-05,0.0,6.967579688989341e-05,0.6967579688989342,0.07893561221907074,5.0,-0.004921064387780929
3.6375000000000024e-05,0.0,6.965937629475529e-05,0.6965937629475528,0.08192723307064263,5.0,-0.004918072766929358
3.6425000000000025e-05,0.0,6.964354870040251e-05,0.696435487004025,0.08517263788369184,5.0,-0.004914827362116308
3.6475000000000026e-05,0.0,6.962806828391684e-05,0.6962806828391683,0.08872761750851729,5.0,-0.0049112723824914824
3.652500000000003e-05,0.0,6.961304883033818e-05,0.6961304883033818,0.09267438615971252,5.0,-0.004907325613840287
3.657500000000003e-05,0.0,6.959822341867178e-05,0.6959822341867178,0.09712722474416385,5.0,-0.004902872775255836
3.662500000000003e-05,0.0,6.958364390624915e-05,0.6958364390624915,0.10226475761267285,5.0,-0.0048977352423873275
3.667500000000003e-05,0.0,6.9568959711337e-05,0.6956895971133699,0.10837283128468882,5.0,-0.004891627168715312
3.672500000000003e-05,0.0,6.955402970773868e-05,0.6955402970773867,0.11596650972378061,5.0,-0.004884033490276219
3.677500000000003e-05,0.0,6.953802535087666e-05,0.6953802535087665,0.12622215028096043,5.0,-0.00487377784971904
3.6825000000000035e-05,0.0,6.951905785756312e-05,0.6951905785756312,0.14244310318600611,5.0,-0.004857556896813994
3.6875000000000036e-05,0.0,6.948542756268497e-05,0.6948542756268496,0.18510803191044628,5.0,-0.004814891968089554
3.692500000000004e-05,0.0,6.907638391256297e-05,0.6907638391256297,0.8436970141954319,5.0,-0.004156302985804568
3.697500000000004e-05,0.0,6.824126451715734e-05,0.6824126451715733,1.9227558486845826,5.0,-0.0030772441513154175
3.702500000000004e-05,0.0,6.695405851999642e-05,0.6695405851999642,3.109861561381241,5.0,-0.001890138438618759
3.707500000000004e-05,0.0,6.437986107689043e-05,0.6437986107689043,4.251828519068419,5.0,-0.0007481714809315807
3.712500000000004e-05,0.0,5.5430503443099115e-05,0.5543050344309911,4.959667422941769,5.0,-4.0332577058230755e-05
3.717500000000004e-05,0.0,3.815620240928596e-05,0.38156202409285955,5.000220599837816,5.0,2.2059983781613085e-07
3.7225000000000044e-05,0.0,2.455296834524788e-05,0.2455296834524788,4.989312350764728,5.0,-1.068764923527199e-05
3.7275000000000045e-05,0.0,1.5632303406068934e-05,0.15632303406068934,5.0022287172311675,5.0,2.2287172311676387e-06
3.732500000000005e-05,0.0,9.519095932395625e-06,0.09519095932395624,4.993452101440561,5.0,-6.547898559438638e-06
3.737500000000005e-05,0.0,5.969881781243017e-06,0.05969881781243017,5.002857177074582,5.0,2.857177074582634e-06
3.742500000000005e-05,0.0,3.514837325627421e-06,0.03514837325627421,4.9957112227581115,5.0,-4.2887772418887665e-06
3.747500000000005e-05,0.0,2.2443612163199976e-06,0.022443612163199976,5.002675224641113,5.0,2.6752246411127292e-06
3.752500000000005e-05,0.0,1.2658906611927355e-06,0.012658906611927354,4.996987566593607,5.0,-3.0124334063925257e-06
3.757500000000005e-05,0.0,8.494899242417968e-07,0.008494899242417968,5.0022411872883605,5.0,2.2411872883602163e-06
3.7625000000000054e-05,0.0,4.402515647736082e-07,0.004402515647736082,4.9977874053545515,5.0,-2.212594645448901e-06
3.7675000000000055e-05,0.0,3.304878783939399e-07,0.003304878783939399,5.001794902676846,5.0,1.794902676845872e-06
3.7725000000000056e-05,0.0,1.42997600722049e-07,0.00142997600722049,4.99833419508824,5.0,-1.6658049117601603e-06
3.777500000000006e-05,0.0,1.361499478255512e-07,0.0013614994782555118,5.001408792781806,5.0,1.4087927818059662e-06
3.782500000000006e-05,0.0,3.852689399307365e-08,0.00038526893993073646,4.998730037738513,5.0,-1.2699622614874284e-06
3.787500000000006e-05,0.0,6.168932123918686e-08,0.0006168932123918686,5.001095536758061,5.0,1.0955367580611775e-06
3.792500000000006e-05,0.0,3.5329412511028472e-09,3.532941251102847e-05,4.9990259016880225,5.0,-9.740983119774227e-07
3.797500000000006e-05,0.0,3.1761532085949287e-08,0.0003176153208594928,5.000848268185923,5.0,8.48268185922596e-07
3.8025000000000064e-05,0.0,-6.82820139695677e-09,-6.82820139695677e-05,4.999250634532126,5.0,-7.493654678733877e-07
3.8075000000000065e-05,0.0,1.8732485455355904e-08,0.00018732485455355904,5.0006554745678455,5.0,6.554745678455376e-07
3.8125000000000066e-05,0.0,-8.742548559863386e-09,-8.742548559863386e-05,4.999422712718709,5.0,-5.772872812906393e-07
3.817500000000007e-05,0.0,1.2356799765993981e-08,0.00012356799765993981,5.00050601079248,5.0,5.060107924805685e-07
3.822500000000007e-05,0.0,-8.007691674175619e-09,-8.007691674175618e-05,4.999554987365068,5.0,-4.4501263493212234e-07
3.827500000000007e-05,0.0,8.766802754282467e-09,8.766802754282467e-05,5.000390452339107,5.0,3.9045233910656174e-07
3.832500000000007e-05,0.0,-6.638679889172331e-09,-6.638679889172331e-05,4.999656846957625,5.0,-3.431530423755186e-07
3.837500000000007e-05,0.0,6.4824805551998715e-09,6.482480555199871e-05,5.000301219608579,5.0,3.01219608579012e-07
3.8425000000000073e-05,0.0,-5.289646804482118e-09,-5.289646804482118e-05,4.999735352429617,5.0,-2.646475703825535e-07
