# artifact_type: raw_data
# circuit_file: 01_nmos_low_side_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\01_nmos_low_side_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:43.854593

Time (s),V(drain),I(VIN),V(gate),V(m1#body diode),V(m1#gate),V(n1),V(vdd),I(LLOAD),I(VDD)
5.758429303631624e-06,-0.7050856321333926,-0.001968226153782645,0.0,-0.10295076253458457,-0.0059046784613479356,13.734469918117691,10.0,-0.03734469918117691,0.037344699181176916
5.776725907375948e-06,-0.7225644491416812,0.0015054524892431365,0.0,-0.11914924268955751,0.004516357467729409,13.708058607218039,10.0,-0.03708058607218039,0.0370805860721804
5.800781096838016e-06,-0.7052777531753898,-0.0012032214827414835,0.0,-0.10310175393803311,-0.003609664448224451,13.67340793820813,10.0,-0.036734079382081314,0.036734079382081314
5.837654436648568e-06,-0.7178045577786252,0.0010474809564516793,0.0,-0.11528846888231714,0.003142442869355038,13.62046343862545,10.0,-0.036204634386254486,0.036204634386254486
5.907326403483058e-06,-0.7004383102108716,-0.0009584632222533612,0.0,-0.09920643246148836,-0.0028753896667600837,13.52097298719734,10.0,-0.035209729871973405,0.035209729871973405
6.007326403483058e-06,-0.7083430973412821,0.0009148633310394999,0.0,-0.10768291885955189,0.0027445899931184997,13.37942707982447,10.0,-0.0337942707982447,0.03379427079824471
6.107326403483058e-06,-0.6902057697871187,-0.0008546114478720103,0.0,-0.09105463546485354,-0.002563834343616031,13.239340497601697,10.0,-0.03239340497601697,0.032393404976016976
6.207326403483058e-06,-0.6974240821351256,0.0008168307828185671,0.0,-0.09903772688438589,0.0024504923484557012,13.100702135178185,10.0,-0.031007021351781853,0.03100702135178185
6.307326403483058e-06,-0.679960559441225,-0.0007601212111744169,0.0,-0.08305559365214465,-0.002280363633523251,12.963494230143693,10.0,-0.029634942301436932,0.02963494230143693
6.407326403483058e-06,-0.6865120673960972,0.0007262608529643691,0.0,-0.09057988327503519,0.0021787825588931073,12.827705866526157,10.0,-0.028277058665261572,0.028277058665261562
6.5073264034830575e-06,-0.6697057541958704,-0.0006736715342054307,0.0,-0.07520915289544383,-0.002021014602616292,12.693319649836384,10.0,-0.026933196498363846,0.026933196498363843
6.607326403483057e-06,-0.6755937777331794,0.0006434867752617017,0.0,-0.08230764623838277,0.0019304603257851052,12.560324929281151,10.0,-0.025603249292811516,0.02560324929281152
6.707326403483057e-06,-0.6594104106746392,-0.0005947011981402564,0.0,-0.0675129870184007,-0.0017841035944207693,12.42870475989324,10.0,-0.024287047598932406,0.024287047598932396
6.807326403483057e-06,-0.6646276952962571,0.0005679820524242512,0.0,-0.07421674637858672,0.0017039461572727539,12.29844880155614,10.0,-0.022984488015561393,0.022984488015561397
6.907326403483057e-06,-0.6490347207207194,-0.0005227048472906538,0.0,-0.05996473880141434,-0.0015681145418719614,12.1695405427545,10.0,-0.021695405427545014,0.021695405427545
7.007326403483057e-06,-0.6535599155784471,0.0004992790405346117,0.0,-0.06630313774761032,0.0014978371216038352,12.041970016775355,10.0,-0.02041970016775356,0.020419700167753546
