# artifact_type: raw_data
# circuit_file: 04_class_ab_power_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\04_class_ab_power_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:26.120133

Time (s),V(out),V(in),I(VIN),V(b1),V(b2),V(c2),V(c3),V(e3),V(np),V(pp),V(tail),V(vdd),V(vss),I(VDD),I(VSS)
0.0041673537362192535,3.231793861898911,0.2604527459909753,-3.6044073432477705e-06,0.25684833864772755,0.29619612523625044,4.1404670882357335,4.1445086563693305,4.847998671923942,3.506328670409946,2.868148684450559,-0.35249248126841626,12.0,-12.0,-0.4098841948749623,0.005776363424023187
0.0041674691375501284,3.0828391014561305,0.26056062644745126,-4.046723857156515e-06,0.2565139025902948,0.28948850171180474,4.407355206992522,3.987746796179255,5.113557405562836,3.350041381511345,2.712335966843437,-0.35774827383853475,12.0,-12.0,-0.39121113976310085,0.005726147947848138
0.004167656943252955,2.0592664998389063,0.2607358996733079,-6.868738967416707e-06,0.2538671607058912,0.2539890860367979,6.184497774635361,2.909416716327584,6.880646120677795,2.2750622782401444,1.6407078401527155,-0.38077333444339373,12.0,-12.0,-0.2628965658845175,0.005377133849483819
0.004167830552148951,-1.0026374106373783,0.2608976005361674,-7.427326217302962e-06,0.25347027431886443,0.06260325368070302,10.224191178707498,-0.6395415625154703,10.877620595206189,-1.2323743325161964,-1.8252071025169192,-0.3994747744601326,12.0,-12.0,-0.0023667295381670783,0.12767284242427668
0.004167963405314838,-2.1018968146915475,0.26102113148545986,-3.8344224319774504e-06,0.2571867090534824,-0.20345237988197062,11.221384748261311,-8.209534297548862,11.82501921145536,-5.594105652120543,-2.978677006686383,-0.3956520274212534,12.0,-12.0,-0.00138220985327564,0.26421305255604877
0.004168025085308128,-2.128758789588203,0.2610784216186108,-6.119268544233468e-06,0.2549591530743773,-0.1754988404345329,11.468737464001238,-9.8166629963959,12.014398328845894,-6.408850721626421,-3.0010384468397886,-0.3967430354510071,12.0,-12.0,-0.0009643557994962748,0.2671425463312833
0.0041680847216520826,-2.1239039947699463,0.26113377626745493,-6.219890168521647e-06,0.2549138860989333,-0.19299193222107947,11.530459057278023,-11.013385256551247,12.002678210996153,-7.007163916518272,-3.0009425764545252,-0.39825372576074153,12.0,-12.0,-0.0011683809113947063,0.26674777457039905
0.004168143702075834,-2.1151705860369705,0.2611884860273119,-3.6347470982053755e-06,0.2575537389291065,-0.18321470780004592,11.657473567963068,-11.565610875050583,12.037846557246137,-7.2761194448384385,-2.986628014614994,-0.39399493789328005,12.0,-12.0,-0.0008894540285950825,0.2653701158611746
0.004168220513076954,-2.1085565955191643,0.26125968150923057,-8.288135625188881e-06,0.2529715458840417,-0.19133854907468614,11.753002007168527,-11.853184212546521,12.002594919799465,-7.419077466431624,-2.984970720366345,-0.4002315255250786,12.0,-12.0,-0.0011324282680362785,0.26479473315126323
0.004168343291547045,-2.1082917085597424,0.26137335747601714,-2.312861361660845e-06,0.2590604961143563,-0.18438948555260967,11.904971975079334,-11.975231314916947,12.021504492225997,-7.477349806798097,-2.9794682987959202,-0.39249867817016376,12.0,-12.0,-0.000874666830611659,0.2644946660146602
0.00416845688222696,-2.106421101897284,0.26147838829116266,-9.247726187275231e-06,0.25223066210388745,-0.19524288736164871,11.94374229007312,-11.990367844559895,11.99093743131613,-7.486556006834359,-2.982744169260624,-0.40096472828810564,12.0,-12.0,-0.0011224565646870133,0.26452056644347405
0.004168642872335604,-2.108089973838343,0.26165007511213384,-1.5633062504487728e-06,0.2600867688616851,-0.18624175062804543,11.999697044512356,-11.998420283096033,12.012929817931608,-7.488840251242967,-2.979260219650355,-0.3914770301995906,12.0,-12.0,-0.0008736962902986534,0.2644685607547865
0.004168853418645256,-2.10636265155003,0.2618439984617282,-9.754592660738738e-06,0.25208940580098943,-0.19671939800076835,11.989420919447408,-11.999258958973707,11.988300336591132,-7.49096999732674,-2.982681036038116,-0.4010979913408313,12.0,-12.0,-0.0011201409783438976,0.26451212398379575
0.0041690779996145216,-2.1080782486398104,0.26205034332271876,-1.1319945676380714e-06,0.2609183487550807,-0.18619766306714214,12.00873975051722,-12.000413747547267,12.011485186561169,-7.489831745350358,-2.9792497435680385,-0.3906517598278831,12.0,-12.0,-0.0008744209513054102,0.26446736009861
0.004169527161553053,-2.1063611849954498,0.262461467284518,-1.0065927130971624e-05,0.25239554015354637,-0.19696681109641262,11.99125647214206,-11.999486632139783,11.988686568040224,-7.491082396062885,-2.9826781605703827,-0.4007886165735368,12.0,-12.0,-0.0011194062817025952,0.2645116267015126
0.0041701891994039625,-2.108077699949162,0.26306362722000065,-9.762830770750986e-07,0.26208734414292556,-0.1860862302775093,12.008682394037685,-12.000481526724734,12.011203723855445,-7.489865727765213,-2.979249929718885,-0.38948699155009864,12.0,-12.0,-0.0008747977293523945,0.26446745023772567
0.004171513275105781,-2.106361481710038,0.26425428127552986,-1.0189288782857403e-05,0.25406499249267245,-0.19704545837721116,11.99134684906429,-11.999457302058376,11.988850403281994,-7.491067653452998,-2.982678006425596,-0.39948375026172367,12.0,-12.0,-0.001119166951170314,0.26451156687617283
0.004174121153309547,-2.108077558107189,0.2665458110499735,-9.399726363184223e-07,0.2656058384136551,-0.1860379382015688,12.008628400171714,-12.000494173088754,12.01112291603622,-7.489872092684241,-2.979250015804682,-0.38597461214426015,12.0,-12.0,-0.0008749402098686687,0.26446748154165567
0.004179336909717079,-2.106361539695174,0.27091358163406015,-1.0294978480402815e-05,0.2606186031536573,-0.19706930516282137,11.99137898898513,-11.999452080551984,11.988890589326259,-7.491065010544565,-2.9826779486591186,-0.3925668529648177,12.0,-12.0,-0.0011190912017440269,0.26451154936788773
0.004189336909717079,-2.1080775315618507,0.27847040890303815,-1.0463733079953456e-06,0.2774240355950428,-0.18603310874018025,12.008614130943267,-12.000497230436421,12.011102425227284,-7.489873633548302,-2.9792500479569997,-0.37446480639100205,12.0,-12.0,-0.0008749663773528482,0.26446749041445067
0.004199336909717078,-2.1063615695350664,0.2849282406891047,-1.0439409308053054e-05,0.2744888313810516,-0.1970774777628295,11.991388368506177,-11.99944985299965,11.98890466454603,-7.491063890058447,-2.982677938447922,-0.3787911466563481,12.0,-12.0,-0.0011190731923278463,0.26451154453183284
0.004209336909717078,-2.1080775033681425,0.29026159088050246,-1.156328959670363e-06,0.2891052619208321,-0.18603190415465787,12.008604866994444,-12.000499451394706,12.01108836663625,-7.489874749227213,-2.979250059800501,-0.3626120145999555,12.0,-12.0,-0.0008749820276392484,0.26446749513642037
0.0042193369097170775,-2.106361595842655,0.29444941118060164,-1.054177852722151e-05,0.2839076326533801,-0.19708742842725466,11.99139806560159,-11.999447713029097,11.988918680123811,-7.4910628109076445,-2.9826779245745056,-0.36941728188134604,12.0,-12.0,-0.001119051843531338,0.264511539175725
