# artifact_type: raw_data
# circuit_file: inverting amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\inverting amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:09.947959

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0012456000000000019,9.996168745496359e-08,-0.09996068774712583,12.0,0.009996178732568783,0.0,-12.0,-0.09996168745496359,9.997078377621538e-07,-1.2e-11,-1.2e-11,-9.996078770881327e-07
0.001265600000000002,9.951991165974278e-08,-0.09951891637006496,12.0,0.009952001108909323,0.0,-12.0,-0.09951991165974278,9.952896778131493e-07,-1.2e-11,-1.2e-11,-9.951901588997664e-07
0.001285600000000002,9.750864740733422e-08,-0.09750767223212915,12.0,0.009750874482725063,0.0,-12.0,-0.09750864740733423,9.751752050729534e-07,-1.2e-11,-1.2e-11,-9.750776974077656e-07
0.001305600000000002,9.39596135364695e-08,-0.09395867385483268,12.0,0.00939597074105816,0.0,-12.0,-0.09395961353646949,9.396816368079097e-07,-1.2e-11,-1.2e-11,-9.395876781444623e-07
0.001325600000000002,8.892878043138222e-08,-0.08892789106265442,12.0,0.008892886927923916,0.0,-12.0,-0.08892878043138222,8.893687278022089e-07,-1.2e-11,-1.2e-11,-8.892797999143486e-07
0.0013456000000000021,8.24954873354135e-08,-0.08249466230547083,12.0,0.008249556975583152,0.0,-12.0,-0.0824954873354135,8.250299426693086e-07,-1.2e-11,-1.2e-11,-8.249474480095817e-07
0.0013656000000000022,7.476119112375e-08,-0.0747604434438075,12.0,0.0074761265816909875,0.0,-12.0,-0.07476119112375,7.476799425004677e-07,-1.2e-11,-1.2e-11,-7.476051820499865e-07
0.0013856000000000022,6.584786626789401e-08,-0.06584720772931103,12.0,0.006584793205583999,0.0,-12.0,-0.065847866267894,6.585385829704915e-07,-1.2e-11,-1.2e-11,-6.584727357717731e-07
0.0014056000000000023,5.5896081225384835e-08,-0.05589552221370822,12.0,0.00558961370706017,0.0,-12.0,-0.055896081225384836,5.590116766152065e-07,-1.2e-11,-1.2e-11,-5.589557810978944e-07
0.0014256000000000023,4.506278159125062e-08,-0.04506233092242844,12.0,0.004506282661302595,0.0,-12.0,-0.04506278159125062,4.50668822184197e-07,-1.2e-11,-1.2e-11,-4.5062375985210035e-07
0.0014456000000000024,3.3518814972221774e-08,-0.03351847975357058,12.0,0.0033518848460535266,0.0,-12.0,-0.033518814972221776,3.352186511984545e-07,-1.2e-11,-1.2e-11,-3.3518513272385545e-07
0.0014656000000000024,2.1446236617911324e-08,-0.02144602213602948,12.0,0.0021446258044632276,0.0,-12.0,-0.021446236617911323,2.1448188184183814e-07,-1.2e-11,-1.2e-11,-2.14460435822661e-07
0.0014856000000000025,9.035438300775818e-09,-0.009035347938170735,12.0,0.0009035447327992043,0.0,-12.0,-0.009035438300775817,9.036260508257787e-08,-1.2e-11,-1.2e-11,-9.035356973609036e-08
0.0015056000000000026,-3.5178542758721353e-09,0.0035178190941281967,12.0,-0.00035178577905252314,0.0,-12.0,0.0035178542758721354,-3.518174393870102e-08,-1.2e-11,-1.2e-11,3.517822611982473e-08
0.0015256000000000026,-1.601566818912548e-08,0.016015508017869634,12.0,-0.0016015684190219717,0.0,-12.0,0.01601566818912548,-1.601712558453594e-07,-1.2e-11,-1.2e-11,1.6015524033537827e-07
0.0015456000000000027,-2.8260905447739876e-08,0.028260622812968515,12.0,-0.002826093368292844,0.0,-12.0,0.028260905447739876,-2.826347713612287e-07,-1.2e-11,-1.2e-11,2.8260651073873963e-07
0.0015656000000000027,-4.006045134519681e-08,0.040060050704229105,12.0,-0.004006049136919391,0.0,-12.0,0.040060451345196806,-4.006409677001499e-07,-1.2e-11,-1.2e-11,4.006009076468046e-07
0.0015856000000000028,-5.122821999398617e-08,0.05122770766516953,12.0,-0.005122827117558946,0.0,-12.0,0.05122821999398617,-5.12328816641705e-07,-1.2e-11,-1.2e-11,5.122775889338953e-07
0.0016056000000000028,-6.158808901121525e-08,0.061587473074281154,12.0,-0.006158815054326027,0.0,-12.0,0.06158808901121525,-6.159369340952292e-07,-1.2e-11,-1.2e-11,6.158753466237016e-07
0.0016256000000000029,-7.097667707379624e-08,0.07097596724243808,12.0,-0.00709767479858859,0.0,-12.0,0.07097667707379625,-7.098313581643811e-07,-1.2e-11,-1.2e-11,7.097603821911517e-07
0.001645600000000003,-7.924592053951181e-08,0.07924512800819415,12.0,-0.007924599971332007,0.0,-12.0,0.07924592053951181,-7.925313176559978e-07,-1.2e-11,-1.2e-11,7.924520725411468e-07
0.001665600000000003,-8.626540849910112e-08,0.08626454576651627,12.0,-0.008626549468600976,0.0,-12.0,0.08626540849910112,-8.627325848581391e-07,-1.2e-11,-1.2e-11,8.626463203192478e-07
0.001685600000000003,-9.192443943420226e-08,0.09192352010615844,12.0,-0.009192453127499221,0.0,-12.0,0.09192443943420225,-9.193280438163365e-07,-1.2e-11,-1.2e-11,9.192361203059788e-07
0.001705600000000003,-9.613376704642772e-08,0.09613280562127736,12.0,-0.009613386309271488,0.0,-12.0,0.09613376704642772,-9.614251503531346e-07,-1.2e-11,-1.2e-11,9.613290175504443e-07
0.0017256000000000031,-9.882700772480212e-08,0.0988260193647942,12.0,-0.009882710646187917,0.0,-12.0,0.09882700772480213,-9.883600079335642e-07,-1.2e-11,-1.2e-11,9.882611819180192e-07
0.0017456000000000032,-9.996168745496363e-08,0.09996068774712587,12.0,-0.009996178732568787,0.0,-12.0,0.09996168745496363,-9.997078377621538e-07,-1.2e-11,-1.2e-11,9.996078770881332e-07
0.0017656000000000032,-9.951991165974271e-08,0.09951891637006491,12.0,-0.009952001108909316,0.0,-12.0,0.09951991165974272,-9.952896778131493e-07,-1.2e-11,-1.2e-11,9.951901588997657e-07
0.0017856000000000033,-9.75086474073341e-08,0.09750767223212903,12.0,-0.00975087448272505,0.0,-12.0,0.0975086474073341,-9.751752050729534e-07,-1.2e-11,-1.2e-11,9.750776974077643e-07
0.0018056000000000033,-9.395961353646919e-08,0.09395867385483238,12.0,-0.009395970741058128,0.0,-12.0,0.09395961353646919,-9.396816368079097e-07,-1.2e-11,-1.2e-11,9.395876781444592e-07
0.0018256000000000034,-8.892878043138181e-08,0.088927891062654,12.0,-0.008892886927923876,0.0,-12.0,0.0889287804313818,-8.893687278022089e-07,-1.2e-11,-1.2e-11,8.892797999143445e-07
0.0018456000000000034,-8.249548733541301e-08,0.08249466230547034,12.0,-0.008249556975583104,0.0,-12.0,0.08249548733541301,-8.250299426693086e-07,-1.2e-11,-1.2e-11,8.249474480095769e-07
0.0018656000000000035,-7.476119112374942e-08,0.07476044344380692,12.0,-0.0074761265816909285,0.0,-12.0,0.07476119112374942,-7.476799425004677e-07,-1.2e-11,-1.2e-11,7.476051820499806e-07
0.0018856000000000035,-6.584786626789336e-08,0.0658472077293104,12.0,-0.006584793205583933,0.0,-12.0,0.06584786626789337,-6.585385829704915e-07,-1.2e-11,-1.2e-11,6.584727357717666e-07
0.0019056000000000036,-5.589608122538411e-08,0.05589552221370749,12.0,-0.005589613707060097,0.0,-12.0,0.05589608122538411,-5.590116766152065e-07,-1.2e-11,-1.2e-11,5.589557810978871e-07
0.0019256000000000037,-4.5062781591249985e-08,0.0450623309224278,12.0,-0.004506282661302531,0.0,-12.0,0.04506278159124998,-4.50668822184197e-07,-1.2e-11,-1.2e-11,4.50623759852094e-07
0.0019456000000000037,-3.3518814972220953e-08,0.03351847975356975,12.0,-0.0033518848460534446,0.0,-12.0,0.03351881497222095,-3.352186511984545e-07,-1.2e-11,-1.2e-11,3.3518513272384725e-07
0.0019656000000000035,-2.1446236617910814e-08,0.02144602213602897,12.0,-0.002144625804463177,0.0,-12.0,0.021446236617910813,-2.1448188184183814e-07,-1.2e-11,-1.2e-11,2.1446043582265591e-07
0.0019856000000000036,-9.035438300775123e-09,0.00903534793817004,12.0,-0.0009035447327991348,0.0,-12.0,0.009035438300775123,-9.036260508257787e-08,-1.2e-11,-1.2e-11,9.035356973608341e-08
