# artifact_type: raw_data
# circuit_file: multistage_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\multistage_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:11.833282

Time (s),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),V(n009),I(V1),I(V2)
0.0005262999999999999,2.2661719179384443,3.9537050550627826,1.1304069047697796,2.808653902799474,12.0,2.411856317559149,-0.02308292892291819,2.8086541479130562,1.1304069102053935,-0.0016449673435223239,-0.001602274566029127,3.953704987951588,2.266171916333656,4.2692777493196774e-08,-0.0024206316059220607
0.0005463,2.2650088416451855,3.9524971412459213,1.1348097708662566,2.8133876704741585,12.0,2.391615893456283,-0.04332335295937817,2.8133879083415323,1.1348097761565774,-0.0028682552606168294,-0.0028101887095548506,3.9524970738090697,2.2650088400668458,5.806655106197891e-08,-0.0024223694049300298
0.0005663,2.2638870835120737,3.951332129542568,1.1390648728695356,2.817961610381909,12.0,2.3720576714786077,-0.06288157483084866,2.817961843153644,1.1390648780051238,-0.004046309078838767,-0.0039751954073450335,3.9513320671125713,2.263887082022457,7.111367149373316e-08,-0.0024240486600034714
0.0005863000000000001,2.2628270700736834,3.9502312466864855,1.1431093795344733,2.8223082907942936,12.0,2.353447152628828,-0.08149209353625464,2.822308505540849,1.1431093843744173,-0.005160550185739541,-0.005076076679488395,3.9502311858419845,2.2628270686569674,8.447350625114614e-08,-0.0024256472866108956
0.0006063000000000002,2.261842748894947,3.9492089722375865,1.1468718141793013,2.826351031806459,12.0,2.336139043506371,-0.09880020247841914,2.8263512327534155,1.1468718186676166,-0.006193406333447944,-0.006098344070105899,3.949208918453163,2.2618427476145495,9.506226334204478e-08,-0.0024271339959421063
0.0006263000000000002,2.2609523851363833,3.9482842874434567,1.1502893181776799,2.830022498618543,12.0,2.3204046950640524,-0.1145345507074027,2.83002267830964,1.1502893222109654,-0.007128588763516262,-0.007023025248262815,3.948284237277012,2.2609523839735415,1.0556351525344686e-07,-0.002428486010849655
0.0006463000000000003,2.2601673790420027,3.947469021661794,1.1533171395254105,2.8332747810006715,12.0,2.306462704364563,-0.12847654116388085,2.833274940882562,1.1533171430773006,-0.007951349090371413,-0.007838282638269245,3.9474689798891918,2.2601673780458973,1.1306645210216963e-07,-0.0024296841265344297
0.0006663000000000003,2.2595025757095266,3.946778614712125,1.1559023360825826,2.8360512049842956,12.0,2.294542196523487,-0.14039704873608283,2.836051337116492,1.1559023390403669,-0.008648711892165704,-0.008528684360508798,3.9467785781692837,2.259502574867893,1.200275316569068e-07,-0.0024307090876442244
0.0006863000000000004,2.2589661524045512,3.9462215392935662,1.1580069390085195,2.8383111631625364,12.0,2.284833669905254,-0.15010557506381295,2.8383112700757755,1.158006941369763,-0.009209679340930482,-0.009085750299405948,3.946221512232827,2.258966151754451,1.239290415245332e-07,-0.002431544008497002
0.0007063000000000004,2.2585687959084155,3.9458089217518664,1.1595953224277142,2.840016556659734,12.0,2.277486473337337,-0.1574527713241709,2.8400166313241537,1.159595324100281,-0.009625404644893018,-0.009498361519579834,3.945808901015163,2.25856879543773,1.2704312531318478e-07,-0.002432176492647308
0.0007263000000000005,2.258314574012704,3.945544960469193,1.1606441062331005,2.841142398247089,12.0,2.2726233175207824,-0.1623159268209564,2.8411424440744177,1.1606441072340092,-0.009889331567667567,-0.009762312681924179,3.9455449498553583,2.2583145737481702,1.270188857433879e-07,-0.002432595507497532
0.0007463000000000005,2.258209620154582,3.945436055443371,1.16113493825882,2.8416690784855825,12.0,2.270315544449211,-0.16462369956558787,2.8416690897045447,1.161134938524129,-0.00999729782401967,-0.009871210811712494,3.9454360517281004,2.258209620082596,1.2608701230717676e-07,-0.0024327953207170278
0.0007663000000000006,2.258253532301856,3.9454817568437632,1.1610612576118797,2.8415895870831505,12.0,2.2706075548329245,-0.16433168885291893,2.8415895680544714,1.1610612571793817,-0.009947600721590741,-0.00982549915430786,3.9454817633879866,2.258253532439265,1.2210156728288225e-07,-0.00243277166946571
0.0007863000000000006,2.258447576948551,3.9456834114742643,1.1604228385585256,2.8409036962139043,12.0,2.2734879582401035,-0.16145128511995654,2.840903642594252,1.1604228373959318,-0.009741024013373692,-0.00962383759628116,3.9456834249484056,2.258447577279365,1.1718641709253293e-07,-0.0024325259206119396
0.0008063000000000007,2.2587868613245607,3.9460359001403744,1.1592306302767554,2.839623100563679,12.0,2.278920691169237,-0.15601855187335367,2.8396230176319386,1.1592306284415719,-0.009380825537460055,-0.009271339054462757,3.94603592349249,2.258786861856315,1.0948648299729686e-07,-0.002432060734894549
0.0008263000000000007,2.259267798439594,3.946535530003199,1.1575022304406852,2.8377666307808393,12.0,2.2868127102605733,-0.14812653247787244,2.8377665156600624,1.1575022279325635,-0.008872685838987121,-0.008771702766630085,3.946535559782427,2.259267799153501,1.0098307235703537e-07,-0.0024313844955810124
0.0008463000000000008,2.259881049406682,3.9471725595614995,1.1552661446053818,2.8353647504918786,12.0,2.2970468264102877,-0.13789241604213887,2.8353646093484963,1.1552661415002081,-0.00822461858454775,-0.008134664232388289,3.9471725983185784,2.259881050301254,8.995435215946199e-08,-0.0024305068558509646
0.0008663000000000008,2.260618720221387,3.9479388247117186,1.1525561475808748,2.8324536063259824,12.0,2.3094557674723006,-0.12548347471674992,2.8324534375436983,1.1525561439049736,-0.007446844181881073,-0.007368393643114146,3.9479388689095374,2.2606187212757702,7.845053876692662e-08,-0.0024294425782959666
0.0008863000000000009,2.261467419342836,3.948820370871325,1.1494164824214121,2.8290805173550853,12.0,2.323849714474811,-0.11108952747766665,2.82908032789189,1.1494164782662655,-0.006551628597937051,-0.006486839876511663,3.9488204226775725,2.261467420546737,6.478872142538742e-08,-0.002428207569440876
0.0009063000000000009,2.262415491242222,3.9498051304006587,1.1458953539873664,2.8252971155213817,12.0,2.339995155319677,-0.09494408642676655,2.825296904790328,1.1458953494003492,-0.00555308991725033,-0.005502076327551286,3.9498051862276906,2.262415492573432,5.1013589699043666e-08,-0.0024268222797678095
0.000926300000000001,2.263446208370547,3.950875682299022,1.1420456662394884,2.821160016587691,12.0,2.3576650920840905,-0.07727414949013456,2.821159794194027,1.1420456613102792,-0.004466975691313455,-0.004431518413033242,3.9508757441430733,2.263446209813321,3.545727828021306e-08,-0.002425305730498843
0.000946300000000001,2.264545182616428,3.9520171213501016,1.1379320286432903,2.816738542257178,12.0,2.3765463904712156,-0.058392850967341925,2.8167383074364283,1.1379320234601324,-0.0033104145902826333,-0.0032900772150630253,3.952017185341601,2.264545184142803,2.0337375219608316e-08,-0.0024236853283893136
0.0009663000000000011,2.265693247297088,3.953209495143488,1.1336227357798945,2.8121058849715617,12.0,2.3963371708775085,-0.03860207046405373,2.8121056444122585,1.1336227304257152,-0.002101646273617233,-0.002097699553365029,3.953209563003541,2.2656932488863584,3.946720252203788e-09,-0.002421986644415607
0.0009863000000000012,2.2668740159135257,3.954435828864029,1.129180573687927,2.8073294864665215,12.0,2.416739927135861,-0.018199314148899415,2.8073292411119004,1.1291805682433436,-0.0008597337397542504,-0.0008713655857577329,3.9544358969710713,2.2668740175420123,-1.1631846003482502e-08,-0.0024202355122470206
0.0010063000000000012,2.268067299325482,3.95567510410582,1.1246788141148054,2.8024880089708177,12.0,2.4374274617156644,0.0024882204466152302,2.8024877660724186,1.1246788086763444,0.0003957373087646898,0.00036791127106416965,3.955675173827499,2.2680673009639634,-2.7826037700520205e-08,-0.002418459736754661
0.0010263000000000013,2.2692557127904003,3.956909317039574,1.1201870109906713,2.79765627944841,12.0,2.458070183081812,0.023130941787144366,2.797656039646715,1.1201870056342167,0.0016449673435224013,0.0016021223503246418,3.9569093849060533,2.269255714418343,-4.2844993197759626e-08,-0.002416687919085948
